token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TOR001	0	sì	sì	sì	ADV	_
0-1	TOR001	0	sì	sì	sì	ADV	_
0-2	TOR001	0	mah	mah	mah	ADJ	_
0-3	TOR001	0	{P}	{P}	_	_	_
0-4	TOR001	0	ci:oè:	cioè	cioè	CCONJ	_
0-5	TOR001	0	non	non	non	ADV	_
0-6	TOR001	0	non	non	non	ADV	_
0-7	TOR001	0	vi	vi	vi	PRON	_
0-8	TOR001	0	tengo	tengo	terre	VERB	_
0-9	TOR001	0	prigionieri	prigionieri	prigioniere	NOUN	_
0-10	TOR001	0	eh.	eh	eh	ADV	Intonation=falling
0-11	TOR001	0	se	se	se	SCONJ	_
0-12	TOR001	0	poi	poi	poi	ADV	_
0-13	TOR001	0	[dovete	dovete	dovere	AUX	_
0-14	TOR001	0	andare	andare	andare	VERB	_
0-15	TOR001	0	io]	io	io	PRON	_
0-16	TOR001	0	{ride}	{ride}	_	_	_
0-17	TOR001	0	non	non	non	ADV	_
1-0	TOI058	1	[sì	sì	sì	ADV	_
1-1	TOI058	1	no	no	no	ADV	_
1-2	TOI058	1	non	non	non	ADV	_
1-3	TOI058	1	vuoi]	vuoi	volere	AUX	_
1-4	TOI058	1	(passare:)	passare	passare	VERB	_
2-0	TOI058	2	[basta]	basta	bastare	VERB	_
2-1	TOI058	2	uno	uno	uno	PRON	_
2-2	TOI058	2	che	che	che	PRON	_
2-3	TOI058	2	si:	si	si	PRON	_
3-0	TOR001	3	[okay]	okay	okay	NOUN	_
4-0	TOR001	4	va	va	andare	VERB	_
4-1	TOR001	4	benissimo	benissimo	bene	ADV	_
5-0	TOR001	5	dunque	dunque	dunque	ADV	_
5-1	TOR001	5	in	in	in	ADP	_
5-2	TOR001	5	che	che	che	DET	_
5-3	TOR001	5	zona	zona	zona	NOUN	_
5-4	TOR001	5	di	di	di	ADP	_
5-5	TOR001	5	torino	torino	torino	NOUN	_
5-6	TOR001	5	vivi?	vivi	vivo	ADJ	Intonation=rising
6-0	TOI058	6	parella	parella	parella	NOUN	_
7-0	TOR001	7	e:	e	e	CCONJ	_
7-1	TOR001	7	hai	hai	avere	AUX	_
7-2	TOR001	7	sempre	sempre	sempre	ADV	_
7-3	TOR001	7	vissuto	vissuto	vivere	VERB	_
7-4	TOR001	7	qui?	qui	qui	ADV	Intonation=rising
8-0	TOI058	8	sì	sì	sì	ADV	_
9-0	TOR001	9	da	da	da	ADP	_
9-1	TOR001	9	sempre?	sempre	sempre	ADV	Intonation=rising
10-0	TOI058	10	da	da	da	ADP	_
10-1	TOI058	10	se:mpre	sempre	sempre	ADV	_
