token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	BOR031	0	appunto	appunto	appunto	ADV	_
0-1	BOR031	0	e:h	eh	eh	INTJ	_
0-2	BOR031	0	voi	voi	voi	PRON	_
0-3	BOR031	0	non	non	non	ADV	_
0-4	BOR031	0	avete	avete	avere	AUX	_
0-5	BOR031	0	sempre	sempre	sempre	ADV	_
0-6	BOR031	0	vissuto	vissuto	vivere	VERB	_
0-7	BOR031	0	a	a	a	ADP	_
0-8	BOR031	0	medicina	medicina	medicina	NOUN	_
0-9	BOR031	0	da	da	da	ADP	_
0-10	BOR031	0	quello	quello	quello	PRON	_
0-11	BOR031	0	che	che	che	PRON	_
0-12	BOR031	0	so	so	sapere	VERB	_
1-0	BOI117	1	no	no	no	ADV	_
2-0	BOR031	2	giusto?	giusto	giusto	ADJ	Intonation=rising
3-0	BOI117	3	no	no	no	ADV	_
4-0	BOR031	4	okay	okay	okay	NOUN	_
5-0	BOR031	5	e:h	eh	eh	ADV	_
5-1	BOR031	5	come	come	come	ADP	_
5-2	BOR031	5	mai	mai	mai	ADV	_
5-3	BOR031	5	avete	avete	avere	AUX	_
5-4	BOR031	5	deciso	deciso	decidere	VERB	_
5-5	BOR031	5	di	di	di	ADP	_
5-6	BOR031	5	trasferirvi	trasferirvi	_	_	_
5-6a	_	_	_	trasferir	trasferire	VERB	_
5-6b	_	_	_	vi	vi	PRON	_
5-7	BOR031	5	qua?	qua	qua	ADV	Intonation=rising
5-8	BOR031	5	{P}	{P}	_	_	_
5-9	BOR031	5	se	se	se	SCONJ	_
5-10	BOR031	5	posso	posso	potere	AUX	_
5-11	BOR031	5	chiedere	chiedere	chiedere	VERB	_
5-12	BOR031	5	ovviamente	ovviamente	ovvio	ADV	_
5-13	BOR031	5	eh	eh	eh	INTJ	_
6-0	BOI117	6	ma	ma	ma	CCONJ	_
6-1	BOI117	6	certo:	certo	certo	ADV	_
6-2	BOI117	6	ma	ma	ma	CCONJ	_
6-3	BOI117	6	sinceramente	sinceramente	sinceramente	ADV	_
6-4	BOI117	6	ci	ci	ci	PRON	_
6-5	BOI117	6	siam	siam	siam	NOUN	_
