token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TOR001	0	okay	okay	okay	NOUN	_
1-0	TOR001	1	che	che	che	SCONJ	_
1-1	TOR001	1	lavoro	lavoro	lavoro	NOUN	_
1-2	TOR001	1	fai?	fai	fare	VERB	Intonation=rising
2-0	TOI007	2	freelance	freelance	freelance	NOUN	_
2-1	TOI007	2	>cioè<	cioè	cioé	ADV	_
2-2	TOI007	2	libero	libero	libero	ADJ	_
2-3	TOI007	2	professionista	professionista	professionista	ADJ	_
2-4	TOI007	2	e	e	e	CCONJ	_
2-5	TOI007	2	informatico	informatico	informatico	ADJ	_
3-0	TOR001	3	okay	okay	okay	NOUN	_
4-0	TOR001	4	in	in	in	ADP	_
4-1	TOR001	4	cosa	cosa	cosa	PRON	_
4-2	TOR001	4	consiste	consiste	consistere	VERB	_
4-3	TOR001	4	il	il	il	DET	_
4-4	TOR001	4	tuo	tuo	tuo	DET	_
4-5	TOR001	4	lavoro?	lavoro	lavoro	NOUN	Intonation=rising
5-0	TOI007	5	consiste	consiste	consistere	VERB	_
5-1	TOI007	5	nel:::	nel	_	_	_
5-1a	_	_	_	in	in	ADP	_
5-1b	_	_	_	il	il	DET	_
6-0	TOI007	6	programmare::	programmare	programmare	VERB	_
6-1	TOI007	6	siti:::	siti	sito	NOUN	_
7-0	TOI007	7	web,	web	web	NOUN	Intonation=weakly_rising
7-1	TOI007	7	applicazioni::	applicazioni	applicazione	NOUN	_
8-0	TOR001	8	mh	mh	mh	NOUN	_
8-1	TOR001	8	mh	mh	mh	NOUN	_
9-0	TOI007	9	portali	portali	portale	ADJ	_
9-1	TOI007	9	>cioè<	cioè	cioè	ADV	_
9-2	TOI007	9	x	x	x	SYM	_
9-3	TOI007	9	dipende::	dipende	dipendere	VERB	_
10-0	TOI007	10	grossomodo	grossomodo	grossomodo	ADJ	_
10-1	TOI007	10	sì.	sì	sì	INTJ	Intonation=falling
11-0	TOR001	11	okay	okay	okay	NOUN	_
11-1	TOR001	11	quindi	quindi	quindi	ADV	_
11-2	TOR001	11	ti	ti	ti	PRON	_
11-3	TOR001	11	commissionano	commissionano	commissionare	VERB	_
11-4	TOR001	11	per	per	per	ADP	_
11-5	TOR001	11	esempio	esempio	esempio	NOUN	_
11-6	TOR001	11	un	un	uno	DET	_
11-7	TOR001	11	sito	sito	sito	NOUN	_
12-0	TOI007	12	sì	sì	sì	ADV	_
12-1	TOI007	12	lavoro	lavoro	lavoro	NOUN	_
12-2	TOI007	12	in	in	in	ADP	_
12-3	TOI007	12	realtà	realtà	realtà	NOUN	_
12-4	TOI007	12	più	più	più	ADV	_
12-5	TOI007	12	che	che	che	SCONJ	_
12-6	TOI007	12	altro	altro	altro	PRON	_
12-7	TOI007	12	consulenza	consulenza	consulenzare	VERB	_
13-0	TOI007	13	per	per	per	ADP	_
13-1	TOI007	13	al[tre	altre	altro	ADJ	_
13-2	TOI007	13	azie]nde	aziende	azienda	NOUN	_
14-0	TOR001	14	[okay]	okay	okay	NOUN	_
15-0	TOR001	15	okay	okay	okay	NOUN	_
16-0	TOI007	16	quindi	quindi	quindi	ADV	_
