token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	BO115	0	ciao	ciao	ciao	NOUN	_
0-1	BO115	0	paola.	paola	paola	NOUN	Intonation=falling
1-0	BO114	1	ciao,	ciao	ciao	NOUN	Intonation=weakly_rising
1-1	BO114	1	rio	rio	rio	ADJ	_
2-0	BO115	2	all:ora,	allora	allora	ADV	Intonation=weakly_rising
2-1	BO115	2	parlami	parlami	parlamare	VERB	_
2-2	BO115	2	un	un	uno	DET	_
2-3	BO115	2	po'::,	po'	poco	PRON	Intonation=weakly_rising
2-4	BO115	2	di	di	di	ADP	_
2-5	BO115	2	come	come	come	SCONJ	_
2-6	BO115	2	ti	ti	ti	PRON	_
2-7	BO115	2	trovi	trovi	trovare	VERB	_
2-8	BO115	2	a	a	a	ADP	_
2-9	BO115	2	bologna.	bologna	bologna	NOUN	Intonation=falling
2-10	BO115	2	di	di	di	ADP	_
2-11	BO115	2	cosa	cosa	cosa	PRON	_
2-12	BO115	2	fai	fai	fare	VERB	_
2-13	BO115	2	durante	durante	durante	ADP	_
2-14	BO115	2	le	le	il	DET	_
2-15	BO115	2	tue	tue	tuo	DET	_
2-16	BO115	2	giornate	giornate	giornata	NOUN	_
2-17	BO115	2	bolognesi.	bolognesi	bolognese	ADJ	Intonation=falling
3-0	BO114	3	beh,	beh	beh	ADV	Intonation=weakly_rising
3-1	BO114	3	a	a	a	ADP	_
3-2	BO114	3	bologna	bologna	bologna	NOUN	_
3-3	BO114	3	mi	mi	mi	PRON	_
3-4	BO114	3	trovo	trovo	trovare	VERB	_
3-5	BO114	3	molto	molto	molto	ADV	_
3-6	BO114	3	bene.	bene	bene	ADV	Intonation=falling
4-0	BO114	4	c'	c'	ci	PRON	Truncated=Yes
4-1	BO114	4	è	è	essere	VERB	_
4-2	BO114	4	da	da	da	ADP	_
4-3	BO114	4	dire,	dire	dire	VERB	Intonation=weakly_rising
4-4	BO114	4	{P}	{P}	_	_	_
4-5	BO114	4	mh	mh	mh	ADV	_
4-6	BO114	4	{ride}	{ride}	_	_	_
4-7	BO114	4	che::	che	che	SCONJ	_
4-8	BO114	4	i	i	il	DET	_
4-9	BO114	4	primi	primi	primo	ADJ	_
4-10	BO114	4	anni	anni	anno	NOUN	_
4-11	BO114	4	sono	sono	essere	AUX	_
4-12	BO114	4	stati	stati	essere	AUX	_
4-13	BO114	4	meravigliosi.	meravigliosi	meraviglioso	ADJ	Intonation=falling
5-0	BO114	5	questo	questo	questo	PRON	_
5-1	BO114	5	è	è	essere	AUX	_
5-2	BO114	5	il	il	il	DET	_
5-3	BO114	5	mio	mio	mio	DET	_
5-4	BO114	5	quarto	quarto	quarto	ADJ	_
5-5	BO114	5	anno	anno	anno	NOUN	_
5-6	BO114	5	a	a	a	ADP	_
5-7	BO114	5	bologna.	bologna	bologna	NOUN	Intonation=falling
5-8	BO114	5	quindi	quindi	quindi	ADV	_
5-9	BO114	5	ora	ora	ora	ADV	_
5-10	BO114	5	sono:	sono	essere	AUX	_
5-11	BO114	5	un	un	uno	DET	_
5-12	BO114	5	po'	po'	poco	ADV	_
5-13	BO114	5	stanca	stanca	stanco	ADJ	_
5-14	BO114	5	e	e	e	CCONJ	_
5-15	BO114	5	vorrei	vorrei	volere	AUX	_
5-16	BO114	5	cambiare	cambiare	cambiare	VERB	_
5-17	BO114	5	aria.	aria	aria	NOUN	Intonation=falling
6-0	BO114	6	anche	anche	anche	ADV	_
6-1	BO114	6	perché,	perché	perché	ADV	Intonation=weakly_rising
6-2	BO114	6	per	per	per	ADP	_
6-3	BO114	6	rispondere	rispondere	rispondere	VERB	_
6-4	BO114	6	alla	alla	_	_	_
6-4a	_	_	_	a	a	ADP	_
6-4b	_	_	_	la	il	DET	_
6-5	BO114	6	seconda	seconda	secondo	ADJ	_
6-6	BO114	6	parte	parte	parte	NOUN	_
6-7	BO114	6	della	della	_	_	_
6-7a	_	_	_	di	di	ADP	_
6-7b	_	_	_	la	il	DET	_
6-8	BO114	6	tua	tua	tuo	DET	_
6-9	BO114	6	domanda,	domanda	domanda	NOUN	Intonation=weakly_rising
6-10	BO114	6	in	in	in	ADP	_
6-11	BO114	6	questi	questi	questo	DET	_
6-12	BO114	6	giorni	giorni	giorno	NOUN	_
6-13	BO114	6	sto	sto	stare	AUX	_
6-14	BO114	6	solo	solo	solo	ADV	_
6-15	BO114	6	studiando	studiando	studiare	VERB	_
6-16	BO114	6	quindi	quindi	quindi	ADV	_
6-17	BO114	6	{P}	{P}	_	_	_
6-18	BO114	6	è	è	essere	AUX	_
6-19	BO114	6	poco	poco	poco	ADV	_
6-20	BO114	6	esaltante	esaltante	esaltare	ADJ	_
6-21	BO114	6	come	come	come	ADP	_
6-22	BO114	6	progetto	progetto	progetto	NOUN	_
6-23	BO114	6	di	di	di	ADP	_
6-24	BO114	6	vita.	vita	vita	NOUN	Intonation=falling
7-0	BO115	7	mh	mh	mh	NOUN	_
8-0	BO115	8	e:::	e	e	CCONJ	_
8-1	BO115	8	quindi	quindi	quindi	ADV	_
8-2	BO115	8	dicevi,	dicevi	dicevere	VERB	Intonation=weakly_rising
8-3	BO115	8	perché	perché	poiperché	SCONJ	_
8-4	BO115	8	son	son	essere	AUX	_
8-5	BO115	8	stati	stati	essere	AUX	_
8-6	BO115	8	meravigliosi,	meravigliosi	meraviglioso	ADJ	Intonation=weakly_rising
8-7	BO115	8	i	i	il	DET	_
8-8	BO115	8	primi	primi	primo	ADJ	_
8-9	BO115	8	anni?	anni	anno	NOUN	Intonation=rising
9-0	BO114	9	perché::	perché	perché	ADV	_
9-1	BO114	9	scoprivo	scoprivo	scoprivo	ADJ	_
9-2	BO114	9	l'	l'	il	DET	Truncated=Yes
9-3	BO114	9	ambiente	ambiente	ambiente	NOUN	_
9-4	BO114	9	universitario	universitario	universitario	ADJ	_
9-5	BO114	9	poi	poi	poi	ADV	_
9-6	BO114	9	io	io	io	PRON	_
9-7	BO114	9	vengo	vengo	venire	VERB	_
9-8	BO114	9	da	da	da	ADP	_
9-9	BO114	9	una	una	uno	DET	_
9-10	BO114	9	piccola	piccola	piccolo	ADJ	_
9-11	BO114	9	città,	città	città	NOUN	Intonation=weakly_rising
10-0	BO114	10	e	e	e	CCONJ	_
10-1	BO114	10	nonostante	nonostante	nonostante	SCONJ	_
10-2	BO114	10	avessi	avessi	avere	AUX	_
10-3	BO114	10	già	già	già	ADV	_
10-4	BO114	10	fatto	fatto	fare	VERB	_
10-5	BO114	10	esperienze	esperienze	esperienza	NOUN	_
10-6	BO114	10	fuori	fuori	fuori	ADP	_
10-7	BO114	10	casa,	casa	casa	NOUN	Intonation=weakly_rising
11-0	BO114	11	non	non	non	ADV	_
11-1	BO114	11	erano	erano	essere	VERB	_
11-2	BO114	11	in	in	in	ADP	_
11-3	BO114	11	un	un	uno	DET	_
11-4	BO114	11	contesto	contesto	contesto	NOUN	_
11-5	BO114	11	di	di	di	ADP	_
11-6	BO114	11	coiquilini,	coiquilini	coiquilino	NOUN	Intonation=weakly_rising
11-7	BO114	11	o	o	o	CCONJ	_
12-0	BO114	12	libertà	libertà	libertà	NOUN	_
12-1	BO114	12	totale	totale	totale	ADJ	_
12-2	BO114	12	da	da	da	ADP	_
12-3	BO114	12	qualsiasi	qualsiasi	qualsiasi	DET	_
12-4	BO114	12	controllo	controllo	controllo	NOUN	_
12-5	BO114	12	parentale	parentale	parentale	ADJ	_
12-6	BO114	12	o	o	o	CCONJ	_
12-7	BO114	12	adulto.	adulto	adulto	ADJ	Intonation=falling
13-0	BO115	13	che::	che	che	PRON	_
13-1	BO115	13	{nomepaese}	{nomepaese}	_	_	_
13-2	BO115	13	è	è	essere	AUX	_
13-3	BO115	13	una	una	uno	DET	_
13-4	BO115	13	piccola	piccola	piccolo	ADJ	_
13-5	BO115	13	città?	città	città	NOUN	Intonation=rising
14-0	BO114	14	{nomepaese}	{nomepaese}	_	_	_
14-1	BO114	14	è	è	essere	AUX	_
14-2	BO114	14	una	una	uno	DET	_
14-3	BO114	14	città	città	città	NOUN	_
14-4	BO114	14	molto	molto	molto	ADV	_
14-5	BO114	14	piccola,	piccola	piccolo	ADJ	Intonation=weakly_rising
14-6	BO114	14	in	in	in	ADP	_
14-7	BO114	14	cui	cui	cui	PRON	_
14-8	BO114	14	è	è	essere	AUX	_
14-9	BO114	14	molto	molto	molto	ADV	_
14-10	BO114	14	bello	bello	bello	ADJ	_
14-11	BO114	14	crescere,	crescere	crescere	VERB	Intonation=weakly_rising
15-0	BO114	15	è	è	essere	AUX	_
15-1	BO114	15	molto	molto	molto	ADV	_
15-2	BO114	15	triste,	triste	triste	ADJ	Intonation=weakly_rising
15-3	BO114	15	{P}	{P}	_	_	_
15-4	BO114	15	quando	quando	quando	SCONJ	_
15-5	BO114	15	arrivi	arrivi	arrivare	VERB	_
15-6	BO114	15	{P}	{P}	_	_	_
15-7	BO114	15	ai	ai	_	_	_
15-7a	_	_	_	a	a	ADP	_
15-7b	_	_	_	i	il	DET	_
15-8	BO114	15	dodici	dodici	dodico	NOUN	_
15-9	BO114	15	tredic'	tredic'	tredica	ADP	Truncated=Yes
