token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	BO139	0	eccoci	eccoci	_	_	_
0-0a	_	_	_	ecco	ecco	ADV	_
0-0b	_	_	_	ci	ci	PRON	_
0-1	BO139	0	qua.	qua	qua	ADV	Intonation=falling
0-2	BO139	0	sarà	sarà	essere	VERB	_
0-3	BO139	0	difficilissimo	difficilissimo	difficile	ADJ	_
0-4	BO139	0	raga	raga	ragazzo	NOUN	_
0-5	BO139	0	perché	perché	perché	SCONJ	_
0-6	BO139	0	tipo	tipo	tipo	NOUN	_
0-7	BO139	0	in	in	in	ADP	_
0-8	BO139	0	quattro	quattro	quattro	NUM	_
0-9	BO139	0	poi	poi	poi	ADV	_
0-10	BO139	0	comunque	comunque	comunque	CCONJ	_
1-0	BO147	1	{ride}	{ride}	-	X	_
2-0	BO139	2	ci	ci	ci	PRON	_
2-1	BO139	2	si	si	si	PRON	_
2-2	BO139	2	parla	parla	parlare	VERB	_
2-3	BO139	2	sopra	sopra	sopra	ADV	_
3-0	BO147	3	{ride}	{ride}	-	X	_
4-0	BO145	4	dopo	dopo	dopo	ADV	_
4-1	BO145	4	lo	lo	lo	PRON	_
4-2	BO145	4	devi	devi	dovere	AUX	_
4-3	BO145	4	far	far	fare	VERB	_
4-4	BO145	4	te?	te	te	PRON	Intonation=rising
5-0	BO139	5	sì	sì	sì	INTJ	_
6-0	BO146	6	già	già	già	ADV	_
6-1	BO146	6	xxxx	x	x	X	_
6-2	BO146	6	(mi	mi	mi	PRON	_
6-3	BO146	6	sono)	sono	essere	AUX	_
6-4	BO146	6	emozio[nato]	emozionato	emozionare	ADJ	_
7-0	BO145	7	[ma	ma	ma	CCONJ	_
7-1	BO145	7	già]	già	già	ADV	_
7-2	BO145	7	qua~	qua	qua~	ADV	Interrupted=Yes
7-3	BO145	7	>cioè<	cioè	cioè	INTJ	_
7-4	BO145	7	quattro	quattro	quattro	NUM	_
7-5	BO145	7	[poi	poi	poi	ADV	_
7-6	BO145	7	(sono)	sono	essere	AUX	_
7-7	BO145	7	tanti]	tanti	tanto	ADJ	_
8-0	BO147	8	[ma	ma	ma	CCONJ	_
8-1	BO147	8	ti	ti	ti	PRON	_
8-2	BO147	8	devi	devi	dovere	AUX	_
8-3	BO147	8	a~	a	a~	X	Interrupted=Yes
8-4	BO147	8	anch]e	anche	anche	ADV	_
8-5	BO147	8	autox~	autot	autot~	X	Interrupted=Yes
8-6	BO147	8	autotrascrivere?	autotrascrivere	autotrascrivere	VERB	Intonation=rising
9-0	BO139	9	sì	sì	sì	INTJ	_
10-0	BO146	10	x	x	x	X	_
11-0	BO139	11	sì	sì	sì	INTJ	_
12-0	BO139	12	mi	mi	mi	PRON	_
12-1	BO139	12	sto	sto	stare	AUX	_
12-2	BO139	12	inculando	inculando	inculare	VERB	_
12-3	BO139	12	in	in	in	ADP	_
12-4	BO139	12	questo	questo	questo	DET	_
12-5	BO139	12	mo[mento	momento	momento	NOUN	_
12-6	BO139	12	non	non	non	ADV	_
12-7	BO139	12	è	è	essere	VERB	_
12-8	BO139	12	che	che	che	SCONJ	_
12-9	BO139	12	sto	sto	stare	AUX	_
12-10	BO139	12	f]acendo	facendo	fare	VERB	_
12-11	BO139	12	il	il	il	DET	_
12-12	BO139	12	tirocinio	tirocinio	tirocinio	NOUN	_
13-0	BO147	13	[(ah	ah	ah	INTJ	_
13-1	BO147	13	bene)]	bene	bene	ADV	_
14-0	BO139	14	{ride}	{ride}	-	X	_
15-0	BO146	15	se	se	se	SCONJ	_
15-1	BO146	15	poi	poi	poi	ADV	_
15-2	BO146	15	arriva	arriva	arrivare	VERB	_
15-3	BO146	15	pure	pure	pure	ADV	_
15-4	BO146	15	francesco	francesco	Francesco	PROPN	_
15-5	BO146	15	ciao	ciao	ciao	INTJ	_
16-0	BO145	16	{ride}	{ride}	-	X	_
17-0	BO146	17	{ride}	{ride}	-	X	_
18-0	BO139	18	{ride}	{ride}	-	X	_
19-0	BO147	19	{ride}	{ride}	-	X	_
20-0	BO145	20	alé	alé	alé	INTJ	_
20-1	BO145	20	lì	lì	lì	ADV	_
20-2	BO145	20	è	è	essere	VERB	_
20-3	BO145	20	la	la	il	DET	_
20-4	BO145	20	fine	fine	fine	NOUN	_
21-0	BO147	21	xx	x	x	X	_
21-1	BO147	21	{ride}	{ride}	-	X	_
22-0	BO139	22	non	non	non	ADV	_
22-1	BO139	22	saprei	saprei	sapere	VERB	_
22-2	BO139	22	come	come	come	SCONJ	_
22-3	BO139	22	scrivere	scrivere	scrivere	VERB	_
22-4	BO139	22	mbare	'mbare	'mbare	NOUN	_
22-5	BO139	22	però	però	però	CCONJ	_
22-6	BO139	22	{ride}	{ride}	-	X	_
23-0	BO145	23	{ride}	{ride}	-	X	_
24-0	BO139	24	apostrofo	apostrofo	apostrofo	NOUN	_
24-1	BO139	24	{ride}	{ride}	-	X	_
25-0	BO145	25	sì.	sì	sì	INTJ	Intonation=falling
25-1	BO145	25	apostrofo	apostrofo	apostrofo	NOUN	_
25-2	BO145	25	mbare	'mbare	'mbare	NOUN	_
26-0	BO147	26	mh	mh	mh	INTJ	_
27-0	BO147	27	c'	c'	ci	PRON	Truncated=Yes
27-1	BO147	27	è	è	essere	VERB	_
27-2	BO147	27	sempre	sempre	sempre	ADV	_
27-3	BO147	27	la	la	il	DET	_
27-4	BO147	27	prima	prima	primo	NUM	_
27-5	BO147	27	volta	volta	volta	NOUN	_
28-0	BO139	28	mh	mh	mh	INTJ	_
28-1	BO139	28	{ride}	{ride}	-	X	_
29-0	BO146	29	xxxx	x	x	X	_
30-0	BO139	30	{ride}	{ride}	-	X	_
31-0	BO147	31	quindi	quindi	quindi	ADV	_
31-1	BO147	31	col	col	_	_	_
31-1a	_	_	_	con	con	ADP	_
31-1b	_	_	_	il	il	DET	_
31-2	BO147	31	xx	pane	pane	NOUN	_
31-3	BO147	31	(cosa	cosa	cosa	PRON	_
31-4	BO147	31	dobbiamo	dobbiamo	dovere	VERB	_
31-5	BO147	31	cosa	cosa	cosa	PRON	_
31-6	BO147	31	fare)?	fare	fare	VERB	Intonation=rising
32-0	BO146	32	no	no	no	INTJ	_
32-1	BO146	32	p~	p	p~	X	Interrupted=Yes|ProsodicLink=Yes
32-2	BO146	32	eh	eh	eh	INTJ	_
32-3	BO146	32	a	a	a	ADP	_
32-4	BO146	32	a	a	a	ADP	_
32-5	BO146	32	prendere	prendere	prendere	VERB	_
32-6	BO146	32	un	un	uno	DET	_
32-7	BO146	32	caffè	caffè	caffè	NOUN	_
33-0	BO146	33	([poi	poi	poi	ADV	_
33-1	BO146	33	se	se	se	SCONJ	_
33-2	BO146	33	vuoi	vuoi	volere	VERB	_
33-3	BO146	33	fare]	fare	fare	VERB	_
33-4	BO146	33	aperitivo	aperitivo	aperitivo	NOUN	_
33-5	BO146	33	fai	fai	fare	VERB	_
33-6	BO146	33	quello)	quello	quello	PRON	_
34-0	BO145	34	[x]	x	x	X	_
35-0	BO146	35	da	da	da	ADP	_
35-1	BO146	35	pallotti	pallotti	Pallotti	PROPN	_
36-0	BO145	36	quando	quando	quando	SCONJ	_
37-0	BO146	37	{ride}	{ride}	-	X	_
38-0	BO147	38	(xx	x	x	X	_
38-1	BO147	38	ma	ma	ma	CCONJ	_
38-2	BO147	38	io	io	io	PRON	_
38-3	BO147	38	da	da	da	ADP	_
38-4	BO147	38	pallotti	pallotti	Pallotti	PROPN	_
38-5	BO147	38	ci	ci	ci	PRON	_
38-6	BO147	38	piglio	piglio	pigliare	VERB	_
38-7	BO147	38	le	le	il	DET	_
38-8	BO147	38	paste	paste	pasta	NOUN	_
38-9	BO147	38	>cioè:<	cioè	cioè	INTJ	_
38-10	BO147	38	ci	ci	ci	PRON	_
38-11	BO147	38	prend[o:	prendo	prendere	VERB	ProsodicLink=Yes
38-12	BO147	38	mh	mh	mh	INTJ	_
38-13	BO147	38	le	le	il	DET	_
38-14	BO147	38	brio~])	brio	brio~	SYM	Interrupted=Yes
39-0	BO146	39	[le	le	il	DET	_
39-1	BO146	39	lasagne]	lasagne	lasagna	NOUN	_
40-0	BO147	40	[(ah)]	ah	ah	INTJ	_
41-0	BO146	41	([n]on)	non	non	ADV	_
41-1	BO146	41	xxx	x	x	X	_
41-2	BO146	41	le	le	il	DET	_
41-3	BO146	41	brioche	brioche	brioche	NOUN	_
41-4	BO146	41	[xxxx]	x	x	X	_
42-0	BO145	42	[cristobello]tti	cristobellotti	Cristobellotti	PROPN	_
43-0	BO146	43	x	x	x	X	_
43-1	BO146	43	{P}	{P}	-	X	_
43-2	BO146	43	[m]:h	mh	mh	INTJ	_
43-3	BO146	43	ce	ce	ce	PRON	_
43-4	BO146	43	n'	n'	ne	PRON	Truncated=Yes
43-5	BO146	43	ha	ha	avere	VERB	_
43-6	BO146	43	poche	poche	poco	PRON	_
44-0	BO147	44	[come	come	come	SCONJ	_
44-1	BO147	44	no]	no	no	INTJ	_
45-0	BO147	45	che	che	che	DET	_
45-1	BO147	45	palle	palle	palla	NOUN	_
46-0	BO146	46	beh	beh	beh	INTJ	_
46-1	BO146	46	pi[gli	pigli	pigliare	VERB	_
46-2	BO146	46	un	un	uno	DET	_
46-3	BO146	46	dolci]no	dolcino	dolce	NOUN	_
46-4	BO146	46	se	se	se	SCONJ	_
46-5	BO146	46	non	no	no	INTJ	_
46-6	BO146	46	glielo	glielo	_	_	_
46-6a	_	_	_	glie	gli	PRON	_
46-6b	_	_	_	lo	lo	PRON	_
46-7	BO146	46	chiedi	chiedi	chiedere	VERB	_
46-8	BO146	46	se	se	se	SCONJ	_
46-9	BO146	46	c'	c'	ci	PRON	Truncated=Yes
46-10	BO146	46	ha	ha	avere	VERB	_
46-11	BO146	46	le	le	il	DET	_
46-12	BO146	46	brioche	brioche	brioche	NOUN	_
46-13	BO146	46	oppure	oppure	oppure	CCONJ	_
46-14	BO146	46	se	se	se	SCONJ	_
46-15	BO146	46	te	te	te	PRON	_
46-16	BO146	46	le	le	le	PRON	_
46-17	BO146	46	fa	fa	fare	VERB	_
47-0	BO145	47	[m:h]	mh	mh	INTJ	_
48-0	BO146	48	°xxxxx°	x	x	X	Volume=low
49-0	BO147	49	(a)	a	a	ADP	_
49-1	BO147	49	parte	parte	parte	NOUN	_
49-2	BO147	49	[che]	che	che	SCONJ	_
50-0	BO145	50	[no	no	no	INTJ	_
50-1	BO145	50	perché]	perché	perché	SCONJ	_
50-2	BO145	50	scivola	scivola	scivolare	VERB	_
51-0	BO147	51	(a)	a	a	ADP	_
51-1	BO147	51	parte	parte	parte	NOUN	_
51-2	BO147	51	che	che	che	SCONJ	_
51-3	BO147	51	pallotti	pallotti	Pallotti	PROPN	_
51-4	BO147	51	fa	fa	fare	VERB	_
