token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TOR006	0	okay	okay	okay	NOUN	_
0-1	TOR006	0	ciao	ciao	ciao	NOUN	_
0-2	TOR006	0	come	come	come	ADP	_
0-3	TOR006	0	ti	ti	ti	PRON	_
0-4	TOR006	0	chiami	chiami	chiama	NOUN	_
1-0	TOI033	1	ciao	ciao	ciao	NOUN	_
1-1	TOI033	1	{P}	{P}	_	_	_
1-2	TOI033	1	stefano,	stefano	stefano	ADJ	Intonation=weakly_rising
2-0	TOR006	2	okay	okay	okay	NOUN	_
2-1	TOR006	2	bene	bene	bene	ADV	_
3-0	TOR006	3	e:::	e	e	CCONJ	_
3-1	TOR006	3	dunque	dunque	dunque	ADV	_
3-2	TOR006	3	tu	tu	tu	PRON	_
3-3	TOR006	3	lavori	lavori	lavoro	NOUN	_
3-4	TOR006	3	giust[o],	giusto	giusto	ADJ	Intonation=weakly_rising
4-0	TOI033	4	[es]atto	esatto	esatto	ADJ	_
5-0	TOR006	5	che	che	che	SCONJ	_
5-1	TOR006	5	lavoro	lavoro	lavoro	NOUN	_
5-2	TOR006	5	fai	fai	fare	VERB	_
6-0	TOI033	6	faccio	faccio	fare	VERB	_
6-1	TOI033	6	il	il	il	DET	_
6-2	TOI033	6	carrozziere	carrozziere	carrozziere	NOUN	_
7-0	TOR006	7	okay,	okay	okay	NOUN	Intonation=weakly_rising
7-1	TOR006	7	e:::	e	e	CCONJ	_
7-2	TOR006	7	da	da	da	ADP	_
7-3	TOR006	7	quanto	quanto	quanto	DET	_
7-4	TOR006	7	tempo?	tempo	tempo	NOUN	Intonation=rising
8-0	TOI033	8	sono::	sono	essere	AUX	ProsodicLink=Yes
8-1	TOI033	8	ho	ho	avere	AUX	_
8-2	TOI033	8	iniziato	iniziato	iniziare	VERB	_
8-3	TOI033	8	il	il	il	DET	_
8-4	TOI033	8	quinto	quinto	quinto	ADJ	_
8-5	TOI033	8	anno	anno	anno	NOUN	_
9-0	TOR006	9	[okay]	okay	okay	NOUN	_
10-0	TOI033	10	[quinto	quinto	quinto	ADJ	_
10-1	TOI033	10	anno]	anno	anno	NOUN	_
10-2	TOI033	10	di	di	di	ADP	_
10-3	TOI033	10	carrozzeria	carrozzeria	carrozzeria	NOUN	_
11-0	TOR006	11	okay	okay	okay	NOUN	_
11-1	TOR006	11	mi	mi	mi	PRON	_
11-2	TOR006	11	puoi	puoi	potere	AUX	_
11-3	TOR006	11	spiegare	spiegare	spiegare	VERB	_
11-4	TOR006	11	qualcosa	qualcosa	qualcosa	PRON	_
11-5	TOR006	11	sul	sul	_	_	_
11-5a	_	_	_	su	su	ADP	_
11-5b	_	_	_	il	il	DET	_
11-6	TOR006	11	tuo	tuo	tuo	DET	_
11-7	TOR006	11	lavoro,	lavoro	lavoro	NOUN	Intonation=weakly_rising
11-8	TOR006	11	cos[a	cosa	cosa	PRON	_
11-9	TOR006	11	fai],	fai	fare	VERB	Intonation=weakly_rising
12-0	TOI033	12	[sì	sì	sì	ADV	_
12-1	TOI033	12	asso]lutamente	assolutamente	assoluto	ADV	_
12-2	TOI033	12	la	la	il	DET	_
12-3	TOI033	12	mia	mia	mio	DET	_
12-4	TOI033	12	mansione	mansione	mansione	NOUN	_
12-5	TOI033	12	è	è	essere	AUX	_
12-6	TOI033	12	detta	detta	dire	VERB	_
12-7	TOI033	12	montaggio	montaggio	montaggio	NOUN	_
12-8	TOI033	12	e	e	e	CCONJ	_
12-9	TOI033	12	smontaggio,	smontaggio	smontaggio	NOUN	Intonation=weakly_rising
13-0	TOR006	13	mhmh,	mhmh	mhmh	NOUN	Intonation=weakly_rising
14-0	TOI033	14	quindi:::	quindi	quindi	ADV	_
14-1	TOI033	14	smonto:::	smonto	smonto	NUM	_
14-2	TOI033	14	parti:::	parti	parte	NOUN	_
14-3	TOI033	14	di:	di	di	ADP	_
14-4	TOI033	14	di	di	di	ADP	_
14-5	TOI033	14	macchine:::	macchine	macchina	NOUN	_
14-6	TOI033	14	da:::	da	da	ADP	_
15-0	TOI033	15	dal	dal	_	_	_
15-0a	_	_	_	da	da	ADP	_
15-0b	_	_	_	il	il	DET	_
15-1	TOI033	15	pezzo	pezzo	pezzo	NOUN	_
15-2	TOI033	15	singolo	singolo	singolo	ADJ	_
15-3	TOI033	15	a	a	a	ADP	_
15-4	TOI033	15	intere	intere	intere	VERB	_
15-5	TOI033	15	parti	parti	parte	NOUN	_
15-6	TOI033	15	di	di	di	ADP	_
15-7	TOI033	15	carrozzeria,	carrozzeria	carrozzeria	NOUN	Intonation=weakly_rising
16-0	TOR006	16	okay	okay	okay	NOUN	_
17-0	TOI033	17	preparazione	preparazione	preparazione	NOUN	_
17-1	TOI033	17	alla:	alla	_	_	_
17-1a	_	_	_	a	a	ADP	_
17-1b	_	_	_	la	la	PRON	_
17-2	TOI033	17	alla	alla	_	_	_
17-2a	_	_	_	a	a	ADP	_
17-2b	_	_	_	la	il	DET	_
17-3	TOI033	17	riparazione,	riparazione	riparazione	NOUN	Intonation=weakly_rising
18-0	TOI033	18	[poi	poi	poi	ADV	_
18-1	TOI033	18	di]	di	di	ADP	_
18-2	TOI033	18	montaggio	montaggio	montaggio	NOUN	_
18-3	TOI033	18	e	e	e	CCONJ	_
