token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	BOR010	0	okay:	okay	okay	NOUN	_
0-1	BOR010	0	ehm:	ehm	ehm	NOUN	_
1-0	BOR010	1	quindi	quindi	quindi	ADV	_
1-1	BOR010	1	lei:	lei	lei	PRON	_
1-2	BOR010	1	>posso	posso	potere	AUX	_
1-3	BOR010	1	chiedere<	chiedere	chiedere	VERB	_
1-4	BOR010	1	lei	lei	lei	PRON	_
1-5	BOR010	1	invece	invece	invece	ADV	_
1-6	BOR010	1	è	è	essere	AUX	_
1-7	BOR010	1	di	di	di	ADP	_
1-8	BOR010	1	bologna	bologna	bologno	ADJ	_
1-9	BOR010	1	bologna?	bologna	bologna	NOUN	Intonation=rising
2-0	BOR010	2	perché	perché	perché	SCONJ	_
2-1	BOR010	2	ricordo	ricordo	ricordare	VERB	_
2-2	BOR010	2	che	che	che	SCONJ	_
2-3	BOR010	2	alcuni	alcuni	alcuno	DET	_
2-4	BOR010	2	che	che	che	PRON	_
2-5	BOR010	2	ho	ho	avere	AUX	_
2-6	BOR010	2	intervistato	intervistato	intervistare	VERB	_
2-7	BOR010	2	non	non	non	ADV	_
2-8	BOR010	2	lo	lo	lo	PRON	_
2-9	BOR010	2	erano:	erano	essere	AUX	_
3-0	BOI044	3	ah	ah	ah	INTJ	_
3-1	BOI044	3	beh	beh	beh	ADV	_
3-2	BOI044	3	no	no	no	ADV	_
3-3	BOI044	3	non	non	non	ADV	_
3-4	BOI044	3	sono:	sono	essere	AUX	_
3-5	BOI044	3	son	son	essere	AUX	_
3-6	BOI044	3	nato	nato	nascere	VERB	_
3-7	BOI044	3	a	a	a	ADP	_
3-8	BOI044	3	crevalcore	crevalcore	crevalcore	NOUN	_
4-0	BOR010	4	ah	ah	ah	INTJ	_
4-1	BOR010	4	okay	okay	okay	NOUN	_
5-0	BOI044	5	e	e	e	CCONJ	_
5-1	BOI044	5	poi	poi	poi	ADV	_
5-2	BOI044	5	dopo	dopo	dopo	ADV	_
5-3	BOI044	5	sono	sono	essere	AUX	_
5-4	BOI044	5	venuto	venuto	venire	VERB	_
5-5	BOI044	5	a	a	a	ADP	_
5-6	BOI044	5	bologna	bologna	bologna	NOUN	_
5-7	BOI044	5	quando	quando	quando	SCONJ	_
5-8	BOI044	5	ho	ho	avere	AUX	_
5-9	BOI044	5	iniziato	iniziato	iniziare	VERB	_
5-10	BOI044	5	a	a	a	ADP	_
5-11	BOI044	5	lavorare	lavorare	lavorare	VERB	_
5-12	BOI044	5	qua	qua	qua	ADV	_
5-13	BOI044	5	a	a	a	ADP	_
5-14	BOI044	5	bologna	bologna	bologna	NOUN	_
5-15	BOI044	5	ne~	ne~	ne~	PROPN	Interrupted=Yes
