token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	BO104	0	avanti,	avanti	avanti	ADV	Intonation=weakly_rising
1-0	BO104	1	salve	salve	salvo	ADJ	_
1-1	BO104	1	{P}	{P}	_	_	_
1-2	BO104	1	sì	sì	sì	INTJ	_
1-3	BO104	1	{P}	{P}	_	_	_
1-4	BO104	1	e::h	eh	eh	NOUN	ProsodicLink=Yes
1-5	BO104	1	m:h	mh	mh	NOUN	_
1-6	BO104	1	{P}	{P}	_	_	_
1-7	BO104	1	dunque,	dunque	dunque	ADV	Intonation=weakly_rising
1-8	BO104	1	la	la	il	DET	_
1-9	BO104	1	ragazza	ragazza	ragazzo	NOUN	_
1-10	BO104	1	per	per	per	ADP	_
1-11	BO104	1	{P}	{P}	_	_	_
1-12	BO104	1	le	le	il	DET	_
1-13	BO104	1	regstrazioni?	regstrazioni	regstrazione	NOUN	Intonation=rising
2-0	BO144	2	xxx	x	x	SYM	_
2-1	BO144	2	il	il	il	DET	_
2-2	BO144	2	registratore	registratore	registratore	NOUN	_
2-3	BO144	2	e	e	e	CCONJ	_
2-4	BO144	2	continuiamo::,	continuiamo	continuere	VERB	Intonation=weakly_rising
3-0	BO104	3	ah,	ah	ah	INTJ	Intonation=weakly_rising
4-0	BO104	4	okay	okay	okay	NOUN	_
4-1	BO104	4	{P}	{P}	_	_	_
4-2	BO104	4	non	non	non	ADV	_
4-3	BO104	4	abbiamo	abbiamo	avere	AUX	_
4-4	BO104	4	firmato	firmato	firmare	VERB	_
4-5	BO104	4	nulla,	nulla	nulla	PRON	Intonation=weakly_rising
4-6	BO104	4	firmiamo	firmiamo	firmare	VERB	_
4-7	BO104	4	dopo?	dopo	dopo	ADP	Intonation=rising
5-0	BO144	5	io,	io	io	PRON	Intonation=weakly_rising
5-1	BO144	5	ho	ho	avere	AUX	_
5-2	BO144	5	già	già	già	ADV	_
5-3	BO144	5	firma[to].	firmato	firmare	VERB	Intonation=falling
6-0	BO104	6	ah	ah	ah	INTJ	_
6-1	BO104	6	okay,	okay	okay	NOUN	Intonation=weakly_rising
6-2	BO104	6	du~	du~	du~	PROPN	Interrupted=Yes
6-3	BO104	6	{P}	{P}	_	_	_
6-4	BO104	6	va	va	andare	VERB	_
