token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TOR001	0	(è)	è	essere	AUX	_
0-1	TOR001	0	sempre	sempre	sempre	ADV	_
0-2	TOR001	0	stata	stata	essere	AUX	_
0-3	TOR001	0	in	in	in	ADP	_
0-4	TOR001	0	barriera?	barriera	barriera	NOUN	Intonation=rising
1-0	TOI056	1	sì.	sì	sì	ADV	Intonation=falling
2-0	TOI056	2	x	x	decimo	ADJ	_
3-0	TOR001	3	{ride}	{ride}	_	X	_
4-0	TOI056	4	la	la	il	DET	_
4-1	TOI056	4	lingua	lingua	lingua	NOUN	_
4-2	TOI056	4	materna	materna	materno	ADJ	_
4-3	TOI056	4	{P}	{P}	_	_	_
4-4	TOI056	4	è	è	essere	AUX	_
4-5	TOI056	4	l'	l'	il	DET	SpaceAfter=No
4-6	TOI056	4	italia[no	italiano	italiano	ADJ	_
4-7	TOI056	4	perché	perché	perché	SCONJ	_
4-8	TOI056	4	son]	son	essere	AUX	_
4-9	TOI056	4	figlia	figlia	figlio	NOUN	_
4-10	TOI056	4	di	di	di	ADP	_
4-11	TOI056	4	italiani	italiani	italiano	NOUN	_
5-0	TOR001	5	[okay]	okay	okay	NOUN	_
6-0	TOR001	6	°c'	c'	ci	PRON	SpaceAfter=No|Volume=low
6-1	TOR001	6	è	è	essere	VERB	Volume=low
6-2	TOR001	6	il	il	il	DET	Volume=low
6-3	TOR001	6	gatto	gatto	gatto	NOUN	Volume=low
6-4	TOR001	6	qua°	qua	qua	ADV	Volume=low
7-0	TOR001	7	{ride}	{ride}	_	X	_
8-0	TOI056	8	si	si	si	PRON	_
8-1	TOI056	8	può	può	potere	AUX	_
8-2	TOI056	8	distinguere	distinguere	distinguere	VERB	_
9-0	TOI056	9	tra	tra	tra	ADP	_
9-1	TOI056	9	torinese	torinese	torinese	ADJ	_
9-2	TOI056	9	{P}	{P}	_	_	_
9-3	TOI056	9	e	e	e	CCONJ	_
9-4	TOI056	9	piemontese	piemontese	piemontese	ADJ	_
9-5	TOI056	9	{P}	{P}	_	_	_
9-6	TOI056	9	quale	quale	quale	ADP	_
9-7	TOI056	9	le	le	il	DET	_
9-8	TOI056	9	piace	piace	piace	NOUN	_
9-9	TOI056	9	di	di	di	ADP	_
9-10	TOI056	9	più?	più	più	ADV	Intonation=rising
10-0	TOI056	10	io	io	io	PRON	_
10-1	TOI056	10	direi	direi	dire	VERB	_
10-2	TOI056	10	torine[se]	torinese	torinese	ADJ	_
11-0	TOR001	11	[se]:	se	se	SCONJ	_
11-1	TOR001	11	sì	sì	sì	ADV	_
11-2	TOR001	11	se	se	se	SCONJ	_
11-3	TOR001	11	è	è	essere	AUX	_
11-4	TOR001	11	sempre	sempre	sempre	ADV	_
11-5	TOR001	11	stata	stata	essere	AUX	_
11-6	TOR001	11	qui	qui	qui	ADV	_
11-7	TOR001	11	direi	direi	dire	VERB	_
11-8	TOR001	11	anch'	anch'	anche	ADV	SpaceAfter=No
11-9	TOR001	11	io	io	io	PRON	_
11-10	TOR001	11	torinese	torinese	torinese	ADJ	_
12-0	TOI056	12	ne	ne	ne	PRON	_
12-1	TOI056	12	ho	ho	avere	AUX	_
12-2	TOI056	12	studiate	studiate	studiare	VERB	_
12-3	TOI056	12	diverse	diverse	diverso	DET	_
12-4	TOI056	12	ma	ma	ma	CCONJ	_
12-5	TOI056	12	non	non	non	ADV	_
12-6	TOI056	12	ne	ne	ne	PRON	_
12-7	TOI056	12	parlo	parlo	parlare	VERB	_
12-8	TOI056	12	nes[suna]	nessuna	nessuna	DET	_
13-0	TOR001	13	[ah]	ah	ah	INTJ	_
13-1	TOR001	13	(o)kay	okay	okay	NOUN	_
13-2	TOR001	13	{ride}	{ride}	_	_	_
14-0	TOI056	14	x[x]	x	decimo	ADJ	_
15-0	TOR001	15	[perfetto]	perfetto	perfetto	ADJ	_
16-0	TOR001	16	c'	c'	ci	PRON	SpaceAfter=No
16-1	TOR001	16	è	è	essere	VERB	_
16-2	TOR001	16	tutto	tutto	tutto	PRON	_
17-0	TOR001	17	okay	okay	okay	NOUN	_
18-0	TOR001	18	grazie	grazie	grazie	NOUN	_
18-1	TOR001	18	mille	mille	mille	NUM	_
19-0	TOI056	19	questa	questa	questo	PRON	_
19-1	TOI056	19	{P}	{P}	_	_	_
19-2	TOI056	19	[è	è	essere	AUX	_
19-3	TOI056	19	sua]	sua	suo	DET	_
20-0	TOR001	20	[okay]	okay	okay	NOUN	_
20-1	TOR001	20	{P}	{P}	_	_	_
20-2	TOR001	20	perfetto	perfetto	perfetto	ADJ	_
21-0	TOR001	21	allora	allora	allora	ADV	_
22-0	TOR001	22	(as)petti	aspetti	aspettere	VERB	_
22-1	TOR001	22	che	che	che	SCONJ	_
23-0	TOR001	23	okay	okay	okay	NOUN	_
24-0	TOR001	24	dunque	dunque	dunque	ADV	_
24-1	TOR001	24	{P}	{P}	_	_	_
24-2	TOR001	24	in	in	in	ADP	_
24-3	TOR001	24	quale	quale	quale	DET	_
24-4	TOR001	24	quartiere	quartiere	quartiere	NOUN	_
24-5	TOR001	24	vive?	vive	vivere	VERB	Intonation=rising
25-0	TOI056	25	barriera	barriera	barriera	NOUN	_
25-1	TOI056	25	di	di	di	ADP	_
25-2	TOI056	25	mila[no]	milano	milano	NOUN	_
26-0	TOR001	26	[per]fetto	perfetto	perfetto	ADJ	_
27-0	TOR001	27	{ride}	{ride}	_	X	_
28-0	TOI056	28	{ride}	{ride}	_	X	_
29-0	TOR001	29	e(:)	e	e	CCONJ	_
29-1	TOR001	29	come	come	come	SCONJ	_
29-2	TOR001	29	si	si	si	PRON	_
29-3	TOR001	29	trova	trova	trovare	VERB	_
29-4	TOR001	29	nel	nel	_	_	_
29-4a	_	_	_	in	in	ADP	_
29-4b	_	_	_	il	il	DET	_
29-5	TOR001	29	quartiere?	quartiere	quartiere	NOUN	Intonation=rising
30-0	TOI056	30	ci	ci	ci	PRON	_
30-1	TOI056	30	sono	sono	essere	AUX	_
30-2	TOI056	30	nata	nata	nascere	VERB	_
30-3	TOI056	30	e	e	e	CCONJ	_
30-4	TOI056	30	mi	mi	mi	PRON	_
30-5	TOI056	30	trovo	trovo	trovare	VERB	_
30-6	TOI056	30	benissimo	benissimo	bene	ADV	_
31-0	TOR001	31	okay	okay	okay	NOUN	_
32-0	TOR001	32	quali	quali	quale	PRON	_
32-1	TOR001	32	sono	sono	essere	AUX	_
32-2	TOR001	32	le	le	il	DET	_
32-3	TOR001	32	cose	cose	cosa	NOUN	_
32-4	TOR001	32	che	che	che	PRON	_
32-5	TOR001	32	a	a	a	ADP	_
32-6	TOR001	32	lei	lei	lei	PRON	_
32-7	TOR001	32	piacciono	piacciono	piacere	VERB	_
32-8	TOR001	32	di	di	di	ADP	_
32-9	TOR001	32	più	più	più	ADV	_
32-10	TOR001	32	del	del	_	_	_
32-10a	_	_	_	di	di	ADP	_
32-10b	_	_	_	il	il	DET	_
32-11	TOR001	32	suo	suo	suo	DET	_
32-12	TOR001	32	quartiere?	quartiere	quartiere	NOUN	Intonation=rising
33-0	TOI056	33	la	la	il	DET	_
33-1	TOI056	33	vivacità	vivacità	vivacità	NOUN	_
33-2	TOI056	33	culturale	culturale	culturale	ADJ	_
33-3	TOI056	33	{P}	{P}	_	_	_
33-4	TOI056	33	e	e	e	CCONJ	_
33-5	TOI056	33	la	la	il	DET	_
33-6	TOI056	33	provenienza	provenienza	provenienza	NOUN	_
33-7	TOI056	33	{P}	{P}	_	_	_
33-8	TOI056	33	diciamo	diciamo	dicare	VERB	_
34-0	TOI056	34	anche	anche	anche	ADV	_
34-1	TOI056	34	multietnica	multietnica	multietnico	ADJ	_
35-0	TOI056	35	non	non	non	ADV	_
35-1	TOI056	35	soltanto	soltanto	soltanto	ADV	_
35-2	TOI056	35	per	per	per	ADP	_
35-3	TOI056	35	quelli	quelli	quello	PRON	_
35-4	TOI056	35	ultimi	ultimi	ultimi	ADJ	_
35-5	TOI056	35	arrivati	arrivati	arrivare	VERB	_
36-0	TOI056	36	ma	ma	ma	CCONJ	_
36-1	TOI056	36	anche	anche	anche	ADV	_
36-2	TOI056	36	per	per	per	ADP	_
36-3	TOI056	36	le	le	il	DET	_
36-4	TOI056	36	varie	varie	vario	DET	_
36-5	TOI056	36	fasi	fasi	fase	NOUN	_
36-6	TOI056	36	di	di	di	ADP	_
36-7	TOI056	36	emigrazi[one]	emigrazione	emigrazione	NOUN	_
37-0	TOR001	37	[mh	mh	mh	NOUN	_
37-1	TOR001	37	mh]	mh	mh	NOUN	_
38-0	TOI056	38	che	che	che	SCONJ	_
38-1	TOI056	38	ci	ci	ci	PRON	_
38-2	TOI056	38	sono	sono	essere	AUX	_
38-3	TOI056	38	state	state	essere	VERB	_
38-4	TOI056	38	nel	nel	_	_	_
38-4a	_	_	_	in	in	ADP	_
38-4b	_	_	_	il	il	DET	_
38-5	TOI056	38	tempo	tempo	tempo	NOUN	_
39-0	TOI056	39	sia	sia	essere	AUX	_
39-1	TOI056	39	{P}	{P}	_	_	_
39-2	TOI056	39	quelle	quelle	quello	PRON	_
39-3	TOI056	39	{P}	{P}	_	_	_
39-4	TOI056	39	prima	prima	prima	ADV	_
39-5	TOI056	39	dei	dei	_	_	_
39-5a	_	_	_	di	di	ADP	_
39-5b	_	_	_	i	il	DET	_
39-6	TOI056	39	contatidini	contatidini	contatidino	NOUN	_
39-7	TOI056	39	verso	verso	verso	ADP	_
39-8	TOI056	39	la	la	il	DET	_
39-9	TOI056	39	città	città	città	NOUN	_
40-0	TOI056	40	successivamente	successivamente	successivamente	ADV	_
40-1	TOI056	40	da	da	da	ADP	_
40-2	TOI056	40	quelli	quelli	quello	PRON	_
41-0	TOI056	41	delle	delle	_	_	_
41-0a	_	_	_	di	di	ADP	_
41-0b	_	_	_	le	il	DET	_
41-1	TOI056	41	altre	altre	altro	ADJ	_
41-2	TOI056	41	regioni	regioni	regione	NOUN	_
41-3	TOI056	41	d'	d'	di	ADP	SpaceAfter=No
41-4	TOI056	41	italia	italia	italia	NOUN	_
41-5	TOI056	41	particolarmente	particolarmente	particolare	ADV	_
42-0	TOI056	42	tra	tra	tra	ADP	_
42-1	TOI056	42	il	il	il	DET	_
42-2	TOI056	42	cinquanta	cinquanta	cinquanta	NUM	_
42-3	TOI056	42	e	e	e	CCONJ	_
42-4	TOI056	42	il	il	il	DET	_
42-5	TOI056	42	sessanta	sessanta	sessanta	NUM	_
42-6	TOI056	42	{P}	{P}	_	_	_
42-7	TOI056	42	dal	dal	_	_	_
42-7a	_	_	_	da	da	ADP	_
42-7b	_	_	_	il	il	DET	_
