token_id,speaker,tu_id,unit,id,span,form,lemma,upos,jefferson_feats
0-0,BO094,0,0,1,riprendiamo,riprendiamo,riprendere,VERB,_
0-1,BO094,0,0,2,la,la,il,DET,_
0-2,BO094,0,0,3,nostra,nostra,nostro,DET,_
0-3,BO094,0,0,4,lezione,lezione,lezione,NOUN,_
1-0,BO094,1,1,1,okay,okay,okay,INTJ,_
1-1,BO094,1,1,2,allora,allora,allora,ADV,_
1-2,BO094,1,1,3,ancora,ancora,ancora,ADV,_
1-3,BO094,1,1,4,e:::h,eh,eh,INTJ,_
2-0,BO094,2,2,1,piccoli,piccoli,piccolo,ADJ,_
2-1,BO094,2,2,2,problemi,problemi,problema,NOUN,_
2-2,BO094,2,2,3-4,sulla,sulla,_,_,_
2-2a,_,_,2,3,_,su,su,ADP,_
2-2b,_,_,2,4,_,la,il,DET,_
2-3,BO094,2,2,5,riduzione,riduzione,riduzione,NOUN,_
2-4,BO094,2,2,6,naturale.,naturale,naturale,ADJ,Intonation=falling
3-0,BO094,3,3,1,la,la,il,DET,_
3-1,BO094,3,3,2,lezione,lezione,lezione,NOUN,_
3-2,BO094,3,3,3,{P},{P},_,_,_
3-3,BO094,3,3,4,sta,sta,stare,AUX,_
3-4,BO094,3,3,5,riprendendo.,riprendendo,riprendere,VERB,Intonation=falling
4-0,BO094,4,4,1,allora,allora,allora,ADV,_
4-1,BO094,4,4,2,mh,mh,mh,INTJ,_
5-0,BO094,5,5,1,allora,allora,allora,ADV,_
5-1,BO094,5,5,2,è,è,essere,AUX,_
5-2,BO094,5,5,3,stata,stata,essere,AUX,_
5-3,BO094,5,5,4,"presentata,",presentata,presentare,VERB,Intonation=weakly_rising
6-0,BO094,6,6,1,una,una,uno,DET,_
6-1,BO094,6,6,2,delegazione,delegazione,delegazione,NOUN,_
6-2,BO094,6,6,3,che,che,che,PRON,_
6-3,BO094,6,6,4,"conteneva,",conteneva,contenere,VERB,Intonation=weakly_rising
7-0,BO094,7,7,1,e::h,eh,eh,INTJ,_
7-1,BO094,7,7,2,questo,questo,questo,DET,_
7-2,BO094,7,7,3,passaggio.,passaggio,passaggio,NOUN,Intonation=falling
8-0,BO094,8,8,1,allora,allora,allora,ADV,_
8-1,BO094,8,8,2,vediamo,vediamo,vedere,VERB,_
8-2,BO094,8,8,3,un,un,uno,DET,_
8-3,BO094,8,8,4,attimo.,attimo,attimo,NOUN,Intonation=falling
9-0,BO094,9,9,1,cosa,cosa,cosa,PRON,_
9-1,BO094,9,9,2,dice,dice,dire,VERB,_
9-2,BO094,9,9,3,la,la,il,DET,_
9-3,BO094,9,9,4,regola,regola,regola,NOUN,_
9-4,BO094,9,9,5,di,di,di,ADP,_
9-5,BO094,9,9,6,introduzione,introduzione,introduzione,NOUN,_
9-6,BO094,9,9,7-8,del,del,_,_,_
9-6a,_,_,9,7,_,di,di,ADP,_
9-6b,_,_,9,8,_,il,il,DET,_
9-7,BO094,9,9,9,quantificatore,quantificatore,quantificatore,NOUN,_
9-8,BO094,9,9,10,e::hm,ehm,ehm,INTJ,_
9-9,BO094,9,9,11,universale?,universale,universale,ADJ,Intonation=rising
10-0,BO094,10,10,1,dice,dice,dire,VERB,_
10-1,BO094,10,10,2,che,che,che,SCONJ,_
11-0,BO094,11,11,1,se,se,se,SCONJ,_
11-1,BO094,11,11,2,io,io,io,PRON,_
11-2,BO094,11,11,3,ho,ho,avere,AUX,_
11-3,BO094,11,11,4,ottenuto,ottenuto,ottenere,VERB,_
11-4,BO094,11,11,5,a,a,a,NOUN,_
11-5,BO094,11,11,6,bi,bi,bi,NOUN,_
11-6,BO094,11,11,7,ci,ci,ci,NOUN,_
12-0,BO094,12,12,1,da:,da,da,ADP,_
12-1,BO094,12,12,2,assunzione,assunzione,assunzione,NOUN,_
12-2,BO094,12,12,3,>da,da,da,ADP,_
12-3,BO094,12,12,4,un,un,uno,DET,_
12-4,BO094,12,12,5,insieme,insieme,insieme,NOUN,_
12-5,BO094,12,12,6,di,di,di,ADP,_
12-6,BO094,12,12,7,assunzioni,assunzioni,assunzione,NOUN,_
12-7,BO094,12,12,8,gamma<,gamma,gamma,NOUN,_
12-8,BO094,12,12,9,dove,dove,dove,ADV,_
12-9,BO094,12,12,10,non,non,non,ADV,_
12-10,BO094,12,12,11,occorre,occorre,occorrere,VERB,_
12-11,BO094,12,12,12,"ci,",ci,ci,NOUN,Intonation=weakly_rising
13-0,BO094,13,13,1,va,va,andare,VERB,_
13-1,BO094,13,13,2,bene,bene,bene,ADV,_
14-0,BO094,14,14,1,ci,ci,ci,NOUN,_
14-1,BO094,14,14,2,non,non,non,ADV,_
14-2,BO094,14,14,3,i::l,il,il,DET,_
14-3,BO094,14,14,4,l',l',il,DET,Truncated=Yes
14-4,BO094,14,14,5,enunciato,enunciato,enunciato,NOUN,_
14-5,BO094,14,14,6,di,di,di,ADP,_
14-6,BO094,14,14,7,gamma,gamma,gamma,NOUN,_
14-7,BO094,14,14,8,non,non,non,ADV,_
14-8,BO094,14,14,9,occore,occore,occore,ADJ,_
14-9,BO094,14,14,10,la,la,la,PRON,_
14-10,BO094,14,14,11,"ci,",ci,ci,NOUN,Intonation=weakly_rising
15-0,BO094,15,15,1,quindi,quindi,quindi,ADV,_
15-1,BO094,15,15,2,la,la,la,PRON,_
15-2,BO094,15,15,3,ci,ci,ci,NOUN,_
15-3,BO094,15,15,4,è,è,essere,VERB,_
15-4,BO094,15,15,5,nuova,nuova,nuovo,ADJ,_
15-5,BO094,15,15,6,va,va,andare,VERB,_
15-6,BO094,15,15,7,bene?,bene,bene,ADV,Intonation=rising
16-0,BO094,16,16,1,rispetto,rispetto,rispetto,ADV,_
16-1,BO094,16,16,2-3,alle,alle,_,_,_
16-1a,_,_,16,2,_,a,a,ADP,_
16-1b,_,_,16,3,_,le,il,DET,_
