token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TOR007	0	[fatto]	fatto	fatto	NOUN	_
1-0	TOI113	1	[xxx]	x	x	SYM	_
1-1	TOI113	1	io	io	io	PRON	_
1-2	TOI113	1	sono	sono	essere	AUX	_
1-3	TOI113	1	[un	un	uno	DET	_
1-4	TOI113	1	po']	po'	poco	ADV	_
1-5	TOI113	1	un	un	uno	DET	_
1-6	TOI113	1	ossessivo.	ossessivo	ossessivo	NOUN	Intonation=falling
2-0	TOR007	2	[guarda]	guarda	guardare	VERB	_
3-0	TOR007	3	okay	okay	okay	NOUN	_
4-0	TOR007	4	a	a	a	ADP	_
4-1	TOR007	4	posto	posto	posto	NOUN	_
5-0	TOR007	5	questo	questo	questo	PRON	_
5-1	TOR007	5	magari	magari	magari	ADV	_
5-2	TOR007	5	lo	lo	lo	PRON	_
5-3	TOR007	5	metto::	metto	mettere	VERB	_
6-0	TOI113	6	{sospira}	{sospira}	_	X	_
7-0	TOI113	7	madonna.	madonna	madonna	NOUN	Intonation=falling
8-0	TOR007	8	ca::volo.	cavolo	cavolo	NOUN	Intonation=falling
9-0	TOR007	9	non	non	non	ADV	_
9-1	TOR007	9	lo	lo	lo	PRON	_
9-2	TOR007	9	(sopporto)	sopporto	sopportire	VERB	_
10-0	TOI113	10	vuoi	vuoi	volere	VERB	_
10-1	TOI113	10	che	che	che	SCONJ	_
10-2	TOI113	10	chiudiamo?	chiudiamo	chiudere	VERB	Intonation=rising
11-0	TOR007	11	eh	eh	eh	INTJ	_
11-1	TOR007	11	forse	forse	forse	ADV	_
11-2	TOR007	11	sì	sì	sì	ADV	_
11-3	TOR007	11	perché	perché	perché	SCONJ	_
11-4	TOR007	11	magari	magari	magari	ADV	_
11-5	TOR007	11	si	si	si	PRON	_
11-6	TOR007	11	sente::	sente	sentire	VERB	_
12-0	TOR007	12	malino	malino	malino	NOUN	_
12-1	TOR007	12	cioè	cioè	cioè	ADV	_
12-2	TOR007	12	vabbè	vabbè	vabbè	CCONJ	_
12-3	TOR007	12	questo	questo	questo	PRON	_
12-4	TOR007	12	è	è	essere	AUX	_
12-5	TOR007	12	un	un	uno	DET	_
12-6	TOR007	12	bel	bel	bello	ADJ	_
12-7	TOR007	12	registratore	registratore	registratore	NOUN	_
12-8	TOR007	12	pero:	pero	pero	ADJ	_
13-0	TOI113	13	xxx	x	decimo	ADJ	_
14-0	TOI113	14	allora.	allora	allora	ADV	Intonation=falling
14-1	TOI113	14	chiudiamo.	chiudiamo	chiudare	VERB	Intonation=falling
15-0	TOI113	15	aiutami	aiutami	aiutame	NOUN	_
16-0	TOR007	16	eh	eh	eh	INTJ	_
16-1	TOR007	16	sì	sì	sì	INTJ	_
16-2	TOR007	16	[eh::]	eh	eh	INTJ	_
17-0	TOI113	17	[xxx]	x	x	SYM	_
17-1	TOI113	17	la	la	il	DET	_
17-2	TOI113	17	marilena	marilena	marilena	NOUN	_
17-3	TOI113	17	le	le	le	PRON	_
17-4	TOI113	17	grattava	grattava	grattare	VERB	_
17-5	TOI113	17	la	la	il	DET	_
17-6	TOI113	17	(schiena)	schiena	schiena	NOUN	_
17-7	TOI113	17	{canta}	{canta}	_	_	_
18-0	TOR007	18	ma	ma	ma	CCONJ	_
18-1	TOR007	18	posso	posso	potere	AUX	_
18-2	TOR007	18	salire	salire	salire	VERB	_
18-3	TOR007	18	sul	sul	_	_	_
18-3a	_	_	_	su	su	ADP	_
18-3b	_	_	_	il	il	DET	_
18-4	TOR007	18	tavolo?	tavolo	tavolo	NOUN	Intonation=rising
19-0	TOR007	19	no	no	no	ADV	_
19-1	TOR007	19	vero?	vero	vero	ADJ	Intonation=rising
20-0	TOR007	20	è	è	essere	AUX	_
20-1	TOR007	20	un	un	uno	DET	_
20-2	TOR007	20	po'	po'	poco	ADV	_
20-3	TOR007	20	rischioso.	rischioso	rischioso	ADJ	Intonation=falling
21-0	TOI113	21	ho	ho	avere	AUX	_
21-1	TOI113	21	paura	paura	paura	NOUN	_
21-2	TOI113	21	che	che	che	SCONJ	_
21-3	TOI113	21	voli	voli	vole	NOUN	_
22-0	TOI113	22	<sei	sei	sei	NUM	_
22-1	TOI113	22	leggiadra	leggiadra	leggiadra	NOUN	_
22-2	TOI113	22	ma	ma	ma	CCONJ	_
22-3	TOI113	22	questi	questi	questo	DET	_
22-4	TOI113	22	tavoli	tavoli	tavole	NOUN	_
22-5	TOI113	22	sono>	sono	essere	AUX	_
23-0	TOI113	23	amami	amami	amame	NOUN	_
23-1	TOI113	23	{P}	{P}	_	_	_
23-2	TOI113	23	toccami	toccami	toccamo	ADJ	_
23-3	TOI113	23	prendimi	prendimi	prendimo	ADJ	_
23-4	TOI113	23	{canta}	{canta}	_	_	_
24-0	TOI113	24	dammi	dammi	dare	VERB	_
24-1	TOI113	24	l'	l'	il	DET	SpaceAfter=No
24-2	TOI113	24	ebbre:zza	ebbrezza	ebbrezza	NOUN	_
24-3	TOI113	24	dei	dei	_	_	_
24-3a	_	_	_	di	di	ADP	_
24-3b	_	_	_	i	il	DET	_
24-4	TOI113	24	te:ndini:	tendini	tendino	NOUN	_
24-5	TOI113	24	oh	oh	oh	ADV	_
24-6	TOI113	24	oh	oh	oh	ADV	_
24-7	TOI113	24	{canta}	{canta}	_	_	_
25-0	TOI113	25	xxx	x	decimo	ADJ	_
25-1	TOI113	25	{canta}	{canta}	_	_	_
26-0	TOI113	26	chiudiamo	chiudiamo	chiudere	VERB	_
26-1	TOI113	26	anche	anche	anche	ADV	_
26-2	TOI113	26	qua,	qua	qua	ADV	Intonation=weakly_rising
27-0	TOI113	27	e	e	e	CCONJ	_
27-1	TOI113	27	adesso	adesso	adesso	ADV	_
27-2	TOI113	27	ricorda	ricorda	ricordare	VERB	_
27-3	TOI113	27	[che]	che	che	SCONJ	_
27-4	TOI113	27	sei	sei	sei	NUM	_
27-5	TOI113	27	mia	mia	mio	DET	_
27-6	TOI113	27	{canta}	{canta}	_	_	_
28-0	TOR007	28	[dah]	dah	dah	ADV	_
29-0	TOR007	29	eh:	eh	eh	INTJ	_
29-1	TOR007	29	mi	mi	mi	PRON	_
29-2	TOR007	29	[devo	devo	dovere	AUX	_
29-3	TOR007	29	fida:re]	fidare	fidare	VERB	_
30-0	TOI113	30	[xxx]	x	decimo	ADJ	_
30-1	TOI113	30	{canta}	{canta}	_	_	_
31-0	TOI113	31	dico	dico	dire	VERB	_
31-1	TOI113	31	che	che	che	SCONJ	_
31-2	TOI113	31	non	non	non	ADV	_
31-3	TOI113	31	vai	vai	andare	VERB	_
31-4	TOI113	31	più	più	più	ADV	_
31-5	TOI113	31	via	via	via	ADV	_
31-6	TOI113	31	{canta}	{canta}	_	_	_
32-0	TOI113	32	è	è	essere	AUX	_
32-1	TOI113	32	meglio	meglio	meglio	ADV	_
32-2	TOI113	32	un	un	uno	DET	_
32-3	TOI113	32	uomo	uomo	uomo	NOUN	_
