token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	BOR002	0	ALLORA	allora	allora	ADV	Volume=high
1-0	BOR002	1	in	in	in	ADP	_
1-1	BOR002	1	che	che	che	DET	_
1-2	BOR002	1	quartiere	quartiere	quartiere	NOUN	_
1-3	BOR002	1	di	di	di	ADP	_
1-4	BOR002	1	bologna	bologna	bologna	NOUN	_
1-5	BOR002	1	vivi?	vivi	vivo	ADJ	Intonation=rising
1-6	BOR002	1	e	e	e	CCONJ	_
1-7	BOR002	1	come	come	come	SCONJ	_
1-8	BOR002	1	ti	ti	ti	PRON	_
1-9	BOR002	1	trovi?	trovi	trovare	VERB	Intonation=rising
2-0	BOI014	2	°dunque°	dunque	dunque	ADV	Volume=low
2-1	BOI014	2	io	io	io	PRON	_
2-2	BOI014	2	vivo:	vivo	vivere	VERB	_
2-3	BOI014	2	alla	alla	_	_	_
2-3a	_	_	_	a	a	ADP	_
2-3b	_	_	_	la	il	DET	_
2-4	BOI014	2	croce	croce	croce	NOUN	_
2-5	BOI014	2	di	di	di	ADP	_
2-6	BOI014	2	casalecchio	casalecchio	casalecchio	NOUN	_
2-7	BOI014	2	che	che	che	PRON	_
2-8	BOI014	2	è	è	essere	AUX	_
2-9	BOI014	2	un	un	uno	DET	_
2-10	BOI014	2	quartiere:	quartiere	quartiere	NOUN	_
2-11	BOI014	2	del:	del	_	_	_
2-11a	_	_	_	di	di	ADP	_
2-11b	_	_	_	il	il	DET	_
2-12	BOI014	2	comune	comune	comune	NOUN	_
2-13	BOI014	2	di	di	di	ADP	_
2-14	BOI014	2	casalecchio	casalecchio	casalecchio	NOUN	_
3-0	BOI014	3	che	che	che	PRON	_
3-1	BOI014	3	appartiene	appartiene	appartenere	VERB	_
3-2	BOI014	3	alla	alla	_	_	_
3-2a	_	_	_	a	a	ADP	_
3-2b	_	_	_	la	il	DET	_
3-3	BOI014	3	provincia	provincia	provincia	NOUN	_
3-4	BOI014	3	di	di	di	ADP	_
3-5	BOI014	3	bologna	bologna	bologna	NOUN	_
4-0	BOI014	4	mi	mi	mi	PRON	_
4-1	BOI014	4	trovo	trovo	trovare	VERB	_
4-2	BOI014	4	molto	molto	molto	ADV	_
4-3	BOI014	4	bene	bene	bene	ADV	_
4-4	BOI014	4	mi	mi	mi	PRON	_
4-5	BOI014	4	trovo	trovo	trovare	VERB	_
4-6	BOI014	4	°molto	molto	molto	ADV	Volume=low
4-7	BOI014	4	bene°	bene	bene	ADV	Volume=low
5-0	BOR002	5	secondo	secondo	secondo	ADP	_
5-1	BOR002	5	te	te	te	PRON	_
5-2	BOR002	5	{P}	{P}	_	_	_
5-3	BOR002	5	è	è	essere	AUX	_
5-4	BOR002	5	cambiato	cambiato	cambiare	VERB	_
5-5	BOR002	5	<molto>	molto	molto	ADV	_
5-6	BOR002	5	nel	nel	_	_	_
5-6a	_	_	_	in	in	ADP	_
5-6b	_	_	_	il	il	DET	_
5-7	BOR002	5	corso	corso	corso	NOUN	_
5-8	BOR002	5	degli	degli	_	_	_
5-8a	_	_	_	di	di	ADP	_
5-8b	_	_	_	gli	il	DET	_
5-9	BOR002	5	anni?	anni	anno	NOUN	Intonation=rising
5-10	BOR002	5	{P}	{P}	_	_	_
5-11	BOR002	5	se	se	se	SCONJ	_
5-12	BOR002	5	sì	sì	sire	VERB	_
5-13	BOR002	5	perché	perché	poiperché	SCONJ	_
5-14	BOR002	5	{P}	{P}	_	_	_
5-15	BOR002	5	o	o	o	CCONJ	_
5-16	BOR002	5	{P}	{P}	_	_	_
5-17	BOR002	5	se	se	se	SCONJ	_
5-18	BOR002	5	no	no	no	ADV	_
6-0	BOR002	6	perché	perché	perché	SCONJ	_
6-1	BOR002	6	non	non	non	ADV	_
6-2	BOR002	6	è	è	essere	AUX	_
6-3	BOR002	6	cambia[to]	cambiato	cambiare	VERB	_
7-0	BOI014	7	[sì]	sì	sì	ADV	_
7-1	BOI014	7	è	è	essere	AUX	_
7-2	BOI014	7	cambiato:	cambiato	cambiare	VERB	_
7-3	BOI014	7	decisamente	decisamente	decisamente	ADV	_
7-4	BOI014	7	molto:	molto	molto	ADV	_
7-5	BOI014	7	{P}	{P}	_	_	_
7-6	BOI014	7	perché:	perché	perché	SCONJ	_
7-7	BOI014	7	io	io	io	PRON	_
7-8	BOI014	7	faccio	faccio	fare	VERB	_
7-9	BOI014	7	riferimento	riferimento	riferimento	NOUN	_
7-10	BOI014	7	ai	ai	_	_	_
7-10a	_	_	_	a	a	ADP	_
7-10b	_	_	_	i	il	DET	_
7-11	BOI014	7	miei	miei	mio	DET	_
7-12	BOI014	7	primi	primi	primo	ADJ	_
7-13	BOI014	7	anni,	anni	anno	NOUN	Intonation=weakly_rising
8-0	BOI014	8	sono	sono	essere	AUX	_
8-1	BOI014	8	ve~	ve~	ve~	PROPN	Interrupted=Yes
8-2	BOI014	8	arrivata:	arrivata	arrivare	VERB	_
8-3	BOI014	8	{P}	{P}	_	_	_
8-4	BOI014	8	qui	qui	qui	ADV	_
8-5	BOI014	8	a	a	a	ADP	_
8-6	BOI014	8	casalecchio	casalecchio	casalecchio	NOUN	_
8-7	BOI014	8	nel:	nel	_	_	_
8-7a	_	_	_	in	in	ADP	_
8-7b	_	_	_	il	il	DET	_
9-0	BOI014	9	e:h	eh	eh	INTJ	_
9-1	BOI014	9	millenovecentoquarantanove,	millenovecentoquarantanove	millenovecentoquarantanove	NUM	Intonation=weakly_rising
9-2	BOI014	9	e	e	e	CCONJ	_
9-3	BOI014	9	non	non	non	ADV	_
9-4	BOI014	9	mi	mi	mi	PRON	_
9-5	BOI014	9	sono	sono	essere	AUX	_
9-6	BOI014	9	più	più	più	ADV	_
9-7	BOI014	9	spostata	spostata	spostare	VERB	_
9-8	BOI014	9	quindi	quindi	quindi	ADV	_
9-9	BOI014	9	la	la	il	DET	_
9-10	BOI014	9	situazione	situazione	situazione	NOUN	_
9-11	BOI014	9	di	di	di	ADP	_
9-12	BOI014	9	allora	allora	allora	ADV	_
9-13	BOI014	9	era:	era	essere	AUX	_
9-14	BOI014	9	di	di	di	ADP	_
9-15	BOI014	9	un	un	uno	DET	_
9-16	BOI014	9	dopoguerra	dopoguerra	dopoguerra	NOUN	_
10-0	BOI014	10	con:	con	con	ADP	_
11-0	BOI014	11	pochissime	pochissime	poco	DET	_
11-1	BOI014	11	case,	case	casa	NOUN	Intonation=weakly_rising
11-2	BOI014	11	molte	molte	molto	DET	_
11-3	BOI014	11	diroccate	diroccate	diroccata	NOUN	_
11-4	BOI014	11	e	e	e	CCONJ	_
11-5	BOI014	11	una	una	uno	DET	_
11-6	BOI014	11	popolazione:	popolazione	popolazione	NOUN	_
11-7	BOI014	11	nel	nel	_	_	_
11-7a	_	_	_	in	in	ADP	_
11-7b	_	_	_	il	il	DET	_
11-8	BOI014	11	quartiere:	quartiere	quartiere	NOUN	_
11-9	BOI014	11	minima	minima	minima	ADJ	_
12-0	BOI014	12	di	di	di	ADP	_
12-1	BOI014	12	poco	poco	poco	ADV	_
12-2	BOI014	12	più	più	più	ADV	_
12-3	BOI014	12	penso	penso	pensare	VERB	_
12-4	BOI014	12	di:	di	di	ADP	_
13-0	BOI014	13	trecento	trecento	trecento	NUM	_
13-1	BOI014	13	persone	persone	persona	NOUN	_
13-2	BOI014	13	{P}	{P}	_	_	_
13-3	BOI014	13	ecco	ecco	ecco	ADV	_
13-4	BOI014	13	{P}	{P}	_	_	_
13-5	BOI014	13	adesso	adesso	adesso	ADV	_
13-6	BOI014	13	fai	fai	fare	VERB	_
13-7	BOI014	13	i	i	il	DET	_
13-8	BOI014	13	calcoli	calcoli	calcolo	NOUN	_
13-9	BOI014	13	che	che	che	PRON	_
13-10	BOI014	13	ce	ce	ce	PRON	_
13-11	BOI014	13	ne	ne	ne	PRON	_
13-12	BOI014	13	sono	sono	essere	AUX	_
13-13	BOI014	13	ottomila	ottomila	ottomila	NUM	_
14-0	BOI014	14	è	è	essere	AUX	_
14-1	BOI014	14	cambiata	cambiata	cambiare	VERB	_
14-2	BOI014	14	{P}	{P}	_	_	_
14-3	BOI014	14	mh	mh	mh	ADV	_
14-4	BOI014	14	radicalmente	radicalmente	radicalmente	ADV	_
14-5	BOI014	14	in	in	in	ADP	_
14-6	BOI014	14	questi	questi	questo	DET	_
14-7	BOI014	14	settant'	settant'	settanta	NUM	SpaceAfter=No
14-8	BOI014	14	anni	anni	anno	NOUN	_
14-9	BOI014	14	è	è	essere	AUX	_
14-10	BOI014	14	cambiato	cambiato	cambiare	VERB	_
14-11	BOI014	14	moltissimo	moltissimo	molto	ADV	_
14-12	BOI014	14	°ecco°	ecco	ecco	ADV	Volume=low
15-0	BOR002	15	ma	ma	ma	CCONJ	_
15-1	BOR002	15	quindi	quindi	quindi	ADV	_
15-2	BOR002	15	trecento	trecento	trecento	NUM	_
15-3	BOR002	15	persone:	persone	persona	NOUN	_
15-4	BOR002	15	in	in	in	ADP	_
15-5	BOR002	15	tutta	tutta	tutto	DET	_
15-6	BOR002	15	la	la	il	DET	_
15-7	BOR002	15	croce?	croce	croce	NOUN	Intonation=rising
15-8	BOR002	15	cioè	cioè	cioè	CCONJ	_
15-9	BOR002	15	non	non	non	ADV	_
15-10	BOR002	15	solo	solo	solo	ADV	_
15-11	BOR002	15	in	in	in	ADP	_
15-12	BOR002	15	[questa]	questa	questo	PRON	_
16-0	BOI014	16	[sì	sì	sì	ADV	_
16-1	BOI014	16	no	no	no	ADV	_
16-2	BOI014	16	nel]la	nella	_	_	_
16-2a	_	_	_	in	in	ADP	_
16-2b	_	_	_	la	il	DET	_
