la	il	DET
mia	mio	DET
si	si	PRON
è	essere	AUX
rotta	rompere	VERB
questa	questo	DET
mattina	mattina	NOUN
giusto	giusto	ADJ
per	per	ADP
[PAUSE]	[PAUSE]	X
dire	dire	VERB

permesso	permesso	NOUN
[PAUSE]	[PAUSE]	X
la	il	DET
magia	magia	NOUN
grazie	grazie	INTJ
di	di	ADP
accendere	accendere	VERB
il	il	DET
proiettore	proiettore	NOUN

sento	sentire	VERB
che	che	SCONJ
possiamo	potere	AUX

fare	fare	VERB
ci	ci	PRON
la	lo	PRON

a	a	ADP
caso	caso	NOUN
proprio	proprio	ADV

vabbè	vabbè	INTJ
l'	il	PRON
avrei	avere	AUX
accettato	accettare	VERB
anch'	anche	ADV
io	io	PRON

ventuno	ventuno	NUM
ventidue	ventidue	NUM

sai	sapere	VERB
quella	quello	DET
risata	risata	NOUN
che	che	PRON

isterica	isterico	ADJ

ta	ta	X
tan	x	X
ventuno	ventuno	NUM

stai	stare	VERB
scherzando	scherzare	VERB
è	essere	AUX
da	da	ADP
mezz'	mezzo	ADJ
ora	ora	NOUN
che	che	PRON
rispondo	rispondere	VERB
la	il	DET
stessa	stesso	ADJ
cosa	cosa	NOUN

perché	perché	SCONJ
non	non	ADV
ti	ti	PRON
ho	avere	AUX
detto	dire	VERB
il	il	DET
participio	participio	NOUN

tu	tu	PRON

glie	gli	PRON
lo	lo	PRON
dite	dire	VERB
voi	voi	PRON

se	se	SCONJ
volete	volere	AUX
parlar	parlare	VERB
gli	gli	PRON
domani	domani	ADV

professore	professore	NOUN

sì	sì	ADV
chi	chi	PRON
dove	dove	ADV

((ride))	[LAUGH]	X

quale	quale	DET
professore	professore	NOUN
sì	sì	ADV

dire	dire	VERB
mi	mi	PRON

eh	eh	INTJ
volevo	volere	AUX
dir	dire	VERB
le	le	PRON
che	che	SCONJ
mh	mh	INTJ
io	io	PRON
[PAUSE]	[PAUSE]	X
e	e	CCONJ
[PAUSE]	[PAUSE]	X
altre	altro	ADJ
ragazze	ragazza	NOUN

sì	sì	ADV

siamo	essere	AUX
una	uno	DET
e	e	CCONJ
un'	uno	DET
altra	altro	PRON

sì	sì	ADV

facciamo	fare	VERB
arabo	arabo	NOUN
due	due	NUM
e	e	CCONJ
arabo	arabo	NOUN
tre	tre	NUM
insieme	insieme	ADV

((ride))	[LAUGH]	X

e	e	CCONJ
perché	perché	SCONJ
siamo	essere	AUX
a	a	ADP
il	il	DET
terzo	terzo	ADJ
anno	anno	NOUN

tu	tu	PRON
mi	mi	PRON
avevi	avere	AUX
scritto	scrivere	VERB
[PAUSE]	[PAUSE]	X
una	uno	PRON
di	di	ADP
voi	voi	PRON
mi	mi	PRON
aveva	avere	AUX
scritto	scrivere	VERB

io	io	PRON
le	le	PRON
ho	avere	AUX
scritto	scrivere	VERB
sono~	essere	AUX
sono	essere	AUX
io	io	PRON
sì	sì	ADV

e	e	CCONJ
quindi	quindi	ADV
abbiamo	avere	VERB
il	il	DET
problema	problema	NOUN

voi	voi	PRON
siete	essere	AUX
a	a	ADP
il	il	DET
terzo	terzo	ADJ
anno	anno	NOUN
[PAUSE]	[PAUSE]	X
dipartimento	dipartimento	NOUN
di	di	ADP

allora	allora	ADV
noi	noi	PRON
siamo	essere	AUX
studi	studio	NOUN
siamo	essere	AUX
asia	asia	NOUN
e	e	CCONJ
africa	africa	NOUN
sì	sì	ADV

studi	studio	NOUN
okay	ok	INTJ
perfetto	perfetto	ADJ

eh	eh	INTJ
mh	mh	INTJ
abbiamo	avere	AUX
cambiato	cambiare	VERB
lingua	lingua	NOUN

e	e	CCONJ
quindi	quindi	ADV
stiamo	stare	AUX
facendo	fare	VERB
secondo	secondo	ADJ
e	e	CCONJ
terzo	terzo	ADJ
anno	anno	NOUN
insieme	insieme	ADV

ah	ah	INTJ
le	le	PRON
le	le	PRON
state	essere	AUX
facendo	fare	VERB
insieme	insieme	ADV
quindi	quindi	ADV

sì	sì	ADV

no	no	ADV
loro	loro	PRON
io	io	PRON
sono	essere	AUX
più	più	ADV
per	per	ADP
lin~	lin~	X
per	per	ADP
le	il	DET
ulteriori	ulteriore	ADJ
conoscenze	conoscenzo	NOUN
linguistiche	linguistico	ADJ
xxx	x	X
che	che	PRON
le	le	PRON
avevo	avere	AUX
scritto	scrivere	VERB
che	che	SCONJ
io	io	PRON
ho	avere	VERB
l'	lo	PRON
ho	avere	AUX
fatto	fare	VERB
per	per	ADP
la	il	DET
tesi	tesi	NOUN

per	per	ADP
finire	finire	VERB

sì	sì	ADV
sì	sì	ADV
sì	sì	ADV
tu	tu	PRON
hai	avere	AUX
già	già	ADV
dato	dare	VERB
arabo	arabo	NOUN
due	due	NUM

sì	sì	ADV
sì	sì	ADV
sì	sì	ADV
ho	avere	AUX
già	già	ADV
dato	dare	VERB
arabo	arabo	NOUN
due	due	NUM

voi	voi	PRON
invece	invece	ADV
no	no	ADV

no	no	ADV

okay	ok	INTJ

quindi	quindi	ADV
abbiamo	avere	VERB
un	uno	DET
problema	problema	NOUN
perché	perché	SCONJ
il	il	DET
ventisette	ventisette	NUM
iniziano	iniziare	VERB
le	il	DET
lezioni	lezione	NOUN
di	di	ADP
il	il	DET
professor	professore	NOUN
