token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	PKP147	0	secondo	secondo	secondo	ADP	_
0-1	PKP147	0	me,	me	me	PRON	Intonation=weakly_rising
0-2	PKP147	0	con	con	con	ADP	_
0-3	PKP147	0	l'	l'	il	DET	SpaceAfter=No
0-4	PKP147	0	olio	olio	olio	NOUN	_
0-5	PKP147	0	e	e	e	CCONJ	_
0-6	PKP147	0	il	il	il	DET	_
0-7	PKP147	0	sale	sale	sale	NOUN	_
0-8	PKP147	0	già	già	già	ADV	_
0-9	PKP147	0	è	è	essere	AUX	_
0-10	PKP147	0	b(u)ona	buona	buono	ADJ	_
1-0	PKP147	1	così	così	così	ADV	_
2-0	PKP147	2	che	che	che	SCONJ	_
2-1	PKP147	2	dici	dici	dire	VERB	_
2-2	PKP147	2	te?	te	te	PRON	Intonation=rising
3-0	PKP148	3	già	già	già	ADV	_
3-1	PKP148	3	condita?	condita	conditare	VERB	Intonation=rising
4-0	PKP147	4	no	no	no	ADV	_
5-0	PKP148	5	ci	ci	ci	PRON	_
5-1	PKP148	5	metto	metto	mettare	VERB	_
5-2	PKP148	5	[un	un	uno	DET	_
5-3	PKP148	5	pochino	pochino	pochino	NOUN	_
5-4	PKP148	5	d'	d'	di	ADP	SpaceAfter=No
5-5	PKP148	5	o]lio	olio	olio	NOUN	_
5-6	PKP148	5	e	e	e	CCONJ	_
5-7	PKP148	5	{P}	{P}	_	_	_
5-8	PKP148	5	olio	olio	olio	NOUN	_
5-9	PKP148	5	e	e	e	CCONJ	_
5-10	PKP148	5	basta	basta	bastare	VERB	_
5-11	PKP148	5	(pe[rò)]	però	però	ADV	_
6-0	PKP147	6	[c'	c'	ci	PRON	SpaceAfter=No
6-1	PKP147	6	è	è	essere	VERB	_
6-2	PKP147	6	da	da	da	ADP	_
6-3	PKP147	6	condirla]	condirla	_	_	_
6-3a	_	_	_	condir	condire	VERB	_
6-3b	_	_	_	la	la	PRON	_
7-0	PKP147	7	[m]:h	mh	mh	NOUN	_
8-0	PKP148	8	(nient~)	nient~	nient~	PROPN	Interrupted=Yes
8-1	PKP148	8	{P}	{P}	_	_	_
8-2	PKP148	8	parmigiano?	parmigiano	parmigiare	VERB	Intonation=rising
9-0	PKP147	9	se	se	se	SCONJ	_
9-1	PKP147	9	ce	ce	ce	PRON	_
9-2	PKP147	9	lo	lo	lo	PRON	_
9-3	PKP147	9	vuoi	vuoi	volere	AUX	_
9-4	PKP147	9	mettere,	mettere	mettere	VERB	Intonation=weakly_rising
9-5	PKP147	9	sì	sì	sì	ADV	_
9-6	PKP147	9	sì	sì	sì	ADV	_
10-0	PKP147	10	il	il	il	DET	_
10-1	PKP147	10	sale	sale	sale	NOUN	_
10-2	PKP147	10	non	non	non	ADV	_
10-3	PKP147	10	lo	lo	lo	PRON	_
10-4	PKP147	10	so	so	sapere	VERB	_
10-5	PKP147	10	se	se	se	SCONJ	_
10-6	PKP147	10	la	la	il	DET	_
10-7	PKP147	10	mamma	mamma	mamma	NOUN	_
10-8	PKP147	10	ce	ce	ce	PRON	_
10-9	PKP147	10	l'	l'	lo	PRON	SpaceAfter=No
10-10	PKP147	10	ha	ha	avere	AUX	_
10-11	PKP147	10	messo	messo	mettere	VERB	_
11-0	PKP148	11	no	no	no	INTJ	_
11-1	PKP148	11	n[o	no	no	ADV	_
11-2	PKP148	11	ma	ma	ma	CCONJ	_
11-3	PKP148	11	va	va	andare	VERB	_
11-4	PKP148	11	bene]	bene	bene	ADV	_
12-0	PKP147	12	[in	in	in	ADP	_
