token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TO071	0	vedi?	vedi	vedere	VERB	Intonation=rising
0-1	TO071	0	già	già	già	ADV	_
0-2	TO071	0	stavo	stavo	stavo	ADJ	_
0-3	TO071	0	sbagliando	sbagliando	sbagliare	VERB	_
0-4	TO071	0	perché	perché	perché	SCONJ	_
0-5	TO071	0	non	non	non	ADV	_
0-6	TO071	0	sta	sta	stare	AUX	_
0-7	TO071	0	registrando.	registrando	registrare	VERB	Intonation=falling
1-0	TO071	1	di'	di'	_	_	Truncated=Yes
1-0a	_	_	_	di	di	ADP	_
1-0b	_	_	_	'	'	PUNCT	_
1-1	TO071	1	una	una	uno	DET	_
1-2	TO071	1	cosa	cosa	cosa	NOUN	_
1-3	TO071	1	parliamo	parliamo	parlare	VERB	_
1-4	TO071	1	di	di	di	ADP	_
1-5	TO071	1	te.	te	te	PRON	Intonation=falling
1-6	TO071	1	descrivi	descrivi	descrivare	VERB	_
1-7	TO071	1	questa	questa	questo	DET	_
1-8	TO071	1	casa.	casa	casa	NOUN	Intonation=falling
2-0	TO056	2	allora	allora	allora	ADV	_
2-1	TO056	2	la	la	il	DET	_
2-2	TO056	2	nostra	nostra	nostro	DET	_
2-3	TO056	2	casa	casa	casa	NOUN	_
2-4	TO056	2	è	è	essere	AUX	_
2-5	TO056	2	un	un	uno	DET	_
2-6	TO056	2	buco	buco	buco	NOUN	_
2-7	TO056	2	locale,	locale	locale	ADJ	Intonation=weakly_rising
3-0	TO056	3	con	con	con	ADP	_
3-1	TO056	3	l'	l'	il	DET	Truncated=Yes
3-2	TO056	3	acesso	acesso	acesso	NOUN	_
3-3	TO056	3	da	da	da	ADP	_
3-4	TO056	3	ballatoio,	ballatoio	ballatoio	NOUN	Intonation=weakly_rising
4-0	TO056	4	purtroppo,	purtroppo	purtroppo	ADV	Intonation=weakly_rising
5-0	TO056	5	il	il	il	DET	_
5-1	TO056	5	che	che	che	PRON	_
5-2	TO056	5	significa:::	significa	significare	VERB	_
5-3	TO056	5	{P}	{P}	_	_	_
5-4	TO056	5	avere	avere	avere	VERB	_
5-5	TO056	5	(i)	i	il	DET	_
5-6	TO056	5	vicini	vicini	vicino	NOUN	_
5-7	TO056	5	di	di	di	ADP	_
5-8	TO056	5	casa	casa	casa	NOUN	_
5-9	TO056	5	troppo	troppo	troppo	ADV	_
5-10	TO056	5	vicini,	vicini	vicino	ADJ	Intonation=weakly_rising
6-0	TO056	6	si	si	si	PRON	_
6-1	TO056	6	entra	entra	entrare	VERB	_
6-2	TO056	6	e:	e	e	CCONJ	_
6-3	TO056	6	si	si	si	PRON	_
6-4	TO056	6	è	è	essere	AUX	_
6-5	TO056	6	subito	subito	subito	ADV	_
6-6	TO056	6	in	in	in	ADP	_
6-7	TO056	6	cucina,	cucina	cucina	NOUN	Intonation=weakly_rising
7-0	TO056	7	che	che	che	PRON	_
7-1	TO056	7	è	è	essere	AUX	_
7-2	TO056	7	anche	anche	anche	ADV	_
7-3	TO056	7	la	la	il	DET	_
7-4	TO056	7	stanza	stanza	stanza	NOUN	_
7-5	TO056	7	dove:	dove	dove	ADV	_
8-0	TO056	8	studiamo,	studiamo	studare	VERB	Intonation=weakly_rising
8-1	TO056	8	guardiamo	guardiamo	guardare	VERB	_
8-2	TO056	8	i	i	il	DET	_
8-3	TO056	8	film,	film	film	NOUN	Intonation=weakly_rising
8-4	TO056	8	abbiamo	abbiamo	avere	VERB	_
8-5	TO056	8	il	il	il	DET	_
8-6	TO056	8	computer,	computer	computer	NOUN	Intonation=weakly_rising
8-7	TO056	8	teniamo	teniamo	tenere	VERB	_
8-8	TO056	8	i	i	il	DET	_
8-9	TO056	8	libri,	libri	libro	NOUN	Intonation=weakly_rising
9-0	TO056	9	e:h	eh	eh	INTJ	_
9-1	TO056	9	c'	c'	ci	PRON	Truncated=Yes
9-2	TO056	9	è	è	essere	VERB	_
9-3	TO056	9	una	una	uno	DET	_
9-4	TO056	9	mansardina	mansardina	mansardina	NOUN	_
9-5	TO056	9	con	con	con	ADP	_
9-6	TO056	9	il	il	il	DET	_
9-7	TO056	9	letto	letto	letto	NOUN	_
9-8	TO056	9	per	per	per	ADP	_
9-9	TO056	9	gli	gli	il	DET	_
9-10	TO056	9	ospiti,	ospiti	ospite	NOUN	Intonation=weakly_rising
10-0	TO071	10	mhmh.	mhmh	mhmh	NOUN	Intonation=falling
11-0	TO071	11	ci	ci	ci	PRON	_
11-1	TO071	11	dorme	dorme	dormire	VERB	_
11-2	TO071	11	mai	mai	mai	ADV	_
11-3	TO071	11	qualcun(o)?	qualcuno	qualcuno	PRON	Intonation=rising
12-0	TO071	12	lì	lì	lì	ADV	_
12-1	TO071	12	sopra?	sopra	sopra	ADV	Intonation=rising
13-0	TO056	13	s:ì.	sì	sì	ADV	Intonation=falling
13-1	TO056	13	ci	ci	ci	PRON	_
13-2	TO056	13	dormiamo	dormiamo	dormere	VERB	_
13-3	TO056	13	noi	noi	noi	PRON	_
13-4	TO056	13	quando	quando	quando	SCONJ	_
13-5	TO056	13	abbiamo	abbiamo	avere	VERB	_
13-6	TO056	13	gli	gli	il	DET	_
13-7	TO056	13	ospi[ti	ospiti	ospite	NOUN	_
13-8	TO056	13	ap]punto	appunto	appunto	ADV	_
