token_id,speaker,tu_id,unit,id,span,form,lemma,upos,jefferson_feats
0-0,TOI002,0,0,1,conosci,conosci,conoscere,VERB,_
0-1,TOI002,0,0,2,dialetti,dialetti,dialetto,NOUN,_
0-2,TOI002,0,0,3,o,o,o,CCONJ,_
0-3,TOI002,0,0,4,altre,altre,altro,ADJ,_
0-4,TOI002,0,0,5,"lingue,",lingue,lingua,NOUN,_
1-0,TOI002,1,1,1,no.,no,no,ADV,_
2-0,TOI002,2,2,1,°parlo,parlo,parlare,VERB,_
2-1,TOI002,2,2,2,a,a,a,ADP,_
2-2,TOI002,2,2,3,malapena,malapena,malapena,NOUN,_
2-3,TOI002,2,2,4,l',l',il,DET,_
2-4,TOI002,2,2,5,italiano°,italiano,italiano,NOUN,_
3-0,TOR001,3,3,1,°allo:ra°,allora,allora,ADV,_
4-0,TOI003,4,4,1,non,non,non,ADV,_
4-1,TOI003,4,4,2,conosco,conosco,conoscere,VERB,_
4-2,TOI003,4,4,3,neanche,neanche,neanche,ADV,_
4-3,TOI003,4,4,4,il,il,il,DET,_
4-4,TOI003,4,4,5,mio,mio,mio,PRON,_
4-5,TOI003,4,4,6,di,di,di,ADP,_
4-6,TOI003,4,4,7,dialetto,dialetto,dialetto,NOUN,_
4-7,TOI003,4,4,8,((ride)),((ride)),[LAUGH],X,_
5-0,TOI003,5,5,1,o,o,o,CCONJ,_
5-1,TOI003,5,5,2,altre,altre,altro,ADJ,_
5-2,TOI003,5,5,3,lingue,lingue,lingua,NOUN,_
6-0,TOI002,6,6,1,città,città,città,NOUN,_
6-1,TOI002,6,6,2,di,di,di,ADP,_
6-2,TOI002,6,6,3,nascita,nascita,nascita,NOUN,_
6-3,TOI002,6,6,4-5,del,del,_,_,_
6-3a,_,_,6,4,_,di,di,ADP,_
6-3b,_,_,6,5,_,il,il,DET,_
6-4,TOI002,6,6,6,"pa:dre,",padre,padre,NOUN,_
7-0,TOI002,7,7,1,(questa,questa,questo,PRON,_
7-1,TOI002,7,7,2,è),è,essere,AUX,_
7-2,TOI002,7,7,3,(.),[PAUSE],[PAUSE],X,_
7-3,TOI002,7,7,4,una,una,uno,DET,_
7-4,TOI002,7,7,5,domanda,domanda,domanda,NOUN,_
7-5,TOI002,7,7,6,un,un,uno,DET,_
7-6,TOI002,7,7,7,po',po',poco,ADV,_
7-7,TOI002,7,7,8,infame,infame,infame,ADJ,_
8-0,TOI003,8,8,1,io,io,io,PRON,_
8-1,TOI003,8,8,2,metto,metto,mettere,VERB,_
8-2,TOI003,8,8,3,sì.,sì,sì,ADV,_
9-0,TOR001,9,9,0,((ride)),((ride)),[LAUGH],X,_
10-0,TOI002,10,10,1,ma,ma,ma,CCONJ,_
10-1,TOI002,10,10,2,che,che,che,DET,_
10-2,TOI002,10,10,3,co:sa?,cosa,cosa,NOUN,_
11-0,TOI003,11,11,1,conosci,conosci,conoscere,VERB,_
11-1,TOI003,11,11,2,dialetti,dialetti,dialetto,NOUN,_
11-2,TOI003,11,11,3,italiani,italiani,italiano,ADJ,_
11-3,TOI003,11,11,4,xx,x,x,SYM,_
11-4,TOI003,11,11,5,altre,altre,altro,ADJ,_
11-5,TOI003,11,11,6,[lingue],lingue,lingua,NOUN,_
12-0,TOI002,12,12,1,[che],che,che,SCONJ,_
12-1,TOI002,12,12,2,lingue,lingue,lingue,NUM,_
