token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	BO090	0	salve.	salve	salvo	ADJ	Intonation=falling
1-0	BO087	1	buongiorno.	buongiorno	buongiorno	NOUN	Intonation=falling
2-0	BO090	2	chiudo::,	chiudo	chiudere	VERB	Intonation=weakly_rising
2-1	BO090	2	{P}	{P}	_	_	_
2-2	BO090	2	o::?	o	o	CCONJ	Intonation=rising
3-0	BO087	3	mah,	mah	mah	ADV	Intonation=weakly_rising
3-1	BO087	3	{P}	{P}	_	_	_
3-2	BO087	3	un	un	uno	DET	_
3-3	BO087	3	po'	po'	poco	ADV	_
3-4	BO087	3	sì	sì	sì	ADV	_
3-5	BO087	3	perché	perché	perché	SCONJ	_
3-6	BO087	3	c'	c'	ci	PRON	Truncated=Yes
3-7	BO087	3	è	è	essere	VERB	_
3-8	BO087	3	freddo,	freddo	freddo	ADJ	Intonation=weakly_rising
3-9	BO087	3	{P}	{P}	_	_	_
3-10	BO087	3	sento	sento	sento	NOUN	_
3-11	BO087	3	un'	un'	uno	DET	Truncated=Yes
3-12	BO087	3	assibio::la	assibiola	assibiola	NOUN	_
3-13	BO087	3	arrivare	arrivare	arrivare	VERB	_
3-14	BO087	3	da	da	da	ADP	_
3-15	BO087	3	lì,	lì	lì	ADV	Intonation=weakly_rising
4-0	BO090	4	salve.	salve	salvo	ADJ	Intonation=falling
5-0	BO087	5	allora,	allora	allora	ADV	Intonation=weakly_rising
5-1	BO087	5	{P}	{P}	_	_	_
5-2	BO087	5	lei	lei	lei	PRON	_
5-3	BO087	5	che	che	che	PRON	_
5-4	BO087	5	biblioteca	biblioteca	bibliotecare	VERB	_
5-5	BO087	5	porta?	porta	portare	VERB	Intonation=rising
6-0	BO090	6	io,	io	io	PRON	Intonation=weakly_rising
6-1	BO090	6	{P}	{P}	_	_	_
6-2	BO090	6	porto	porto	portire	VERB	_
6-3	BO090	6	la	la	il	DET	_
6-4	BO090	6	biblioteca	biblioteca	biblioteca	NOUN	_
6-5	BO090	6	della	della	_	_	_
6-5a	_	_	_	di	di	ADP	_
6-5b	_	_	_	la	il	DET	_
6-6	BO090	6	casa	casa	casa	NOUN	_
6-7	BO090	6	del	del	_	_	_
6-7a	_	_	_	di	di	ADP	_
6-7b	_	_	_	il	il	DET	_
6-8	BO090	6	fa[scio	fascio	fascio	NOUN	_
6-9	BO090	6	di	di	di	ADP	_
6-10	BO090	6	bologna].	bologna	bologna	NOUN	Intonation=falling
7-0	BO087	7	[ah::,	ah	ah	INTJ	Intonation=weakly_rising
7-1	BO087	7	{P}	{P}	_	_	_
7-2	BO087	7	mi	mi	mi	PRON	_
7-3	BO087	7	ricor]do	ricordo	ricordare	VERB	_
7-4	BO087	7	{P}	{P}	_	_	_
7-5	BO087	7	bellissi[ma].	bellissima	belle	ADJ	Intonation=falling
8-0	BO090	8	[e	e	e	CCONJ	_
8-1	BO090	8	ho]	ho	avere	VERB	_
8-2	BO090	8	anche::,	anche	anche	ADV	Intonation=weakly_rising
8-3	BO090	8	{P}	{P}	_	_	_
8-4	BO090	8	il	il	il	DET	_
8-5	BO090	8	{P}	{P}	_	_	_
8-6	BO090	8	il	il	il	DET	_
8-7	BO090	8	libro:::,	libro	libro	NOUN	Intonation=weakly_rising
9-0	BO090	9	eh::::,	eh	eh	INTJ	Intonation=weakly_rising
10-0	BO090	10	petrucci	petrucci	petruccio	NOUN	_
10-1	BO090	10	e	e	e	CCONJ	_
10-2	BO090	10	barone.	barone	barona	NOUN	Intonation=falling
11-0	BO090	11	primo	primo	primo	ADJ	_
11-1	BO090	11	non	non	non	ADV	_
